configuration,mean,median,std,IQR
Mean Data Poison 10 Clients,0.2408,0.2487,0.097,0.1575
Weighted Mean Data Poison 10 Clients,0.2511,0.268,0.1056,0.1716
Threshold Exclude Mean 0.5 Data Poison 10 Clients,0.2397,0.468,0.1109,0.229
Threshold Exclude Mean 0.4 Data Poison 10 Clients,0.2402,0.2515,0.1022,0.211
Threshold Exclude Mean 0.3 Data Poison 10 Clients,0.231,0.211,0.1126,0.2233
Threshold Exclude Median 0.5 Data Poison 7 Clients,0.1168,0.1038,0.0467,0.0053
Softmax Mean Data Poison 10 Clients,0.2392,0.2542,0.0915,0.135
Dropout Mean Data Poison 10 Clients,0.2302,0.2226,0.1152,0.2138
Dropout Median Data Poison 10 Clients,0.1273,0.1091,0.051,0.0059
Weighted Krum Data Poison 10 Clients,0.111,0.11,0.0048,0.005
Bayesian Weighted Data Poison 10 Clients,0.2499,0.2550,0.0990,0.1550

Mean Model Poison 10 Clients,0.1734,0.1712,0.0305,0.0357
Weighted Mean Model Poison 10 Clients,0.1898,0.1858,0.0436,0.0388
Threshold Exclude Mean 0.5 Model Poison 10 Clients,0.1918,0.184,0.048,0.0741
Threshold Exclude Mean 0.4 Model Poison 10 Clients,0.1964,0.196,0.0486,0.0645
Threshold Exclude Mean 0.3 Model Poison 10 Clients,0.2125,0.219,0.0567,0.0723
Threshold Exclude Median 0.5 Model Poison 7 Clients,0.2148,0.1583,0.0991,0.1769
Softmax Mean Model Poison 10 Clients,0.1824,0.1783,0.0321,0.0442
Dropout Mean Model Poison 10 Clients,0.1913,0.1867,0.0423,0.0579
Dropout Median Model Poison 10 Clients,0.1555,0.1416,0.0499,0.0406
Weighted Krum Model Poison 10 Clients,0.2369,0.282,0.1032,0.2139
Bayesian Weighted Model Poison 10 Clients,0.1893,0.1878,0.0347,0.0454
