Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,bayesian_weighted,1,0.108
10,50,3,0,0,5,bayesian_weighted,2,0.102
10,50,3,0,0,5,bayesian_weighted,3,0.242
10,50,3,0,0,5,bayesian_weighted,4,0.271
10,50,3,0,0,5,bayesian_weighted,5,0.316
10,50,3,0,0,5,bayesian_weighted,6,0.322
10,50,3,0,0,5,bayesian_weighted,7,0.334
10,50,3,0,0,5,bayesian_weighted,8,0.31
10,50,3,0,0,5,bayesian_weighted,9,0.325
10,50,3,0,0,5,bayesian_weighted,10,0.239
10,50,3,0,0,5,bayesian_weighted,11,0.235
10,50,3,0,0,5,bayesian_weighted,12,0.276
10,50,3,0,0,5,bayesian_weighted,13,0.368
10,50,3,0,0,5,bayesian_weighted,14,0.209
10,50,3,0,0,5,bayesian_weighted,15,0.23
10,50,3,0,0,5,bayesian_weighted,16,0.335
10,50,3,0,0,5,bayesian_weighted,17,0.302
10,50,3,0,0,5,bayesian_weighted,18,0.29
10,50,3,0,0,5,bayesian_weighted,19,0.284
10,50,3,0,0,5,bayesian_weighted,20,0.372
10,50,3,0,0,5,bayesian_weighted,21,0.352
10,50,3,0,0,5,bayesian_weighted,22,0.355
10,50,3,0,0,5,bayesian_weighted,23,0.295
10,50,3,0,0,5,bayesian_weighted,24,0.32
10,50,3,0,0,5,bayesian_weighted,25,0.285
10,50,3,0,0,5,bayesian_weighted,26,0.375
10,50,3,0,0,5,bayesian_weighted,27,0.316
10,50,3,0,0,5,bayesian_weighted,28,0.309
10,50,3,0,0,5,bayesian_weighted,29,0.261
10,50,3,0,0,5,bayesian_weighted,30,0.263
10,50,3,0,0,5,bayesian_weighted,31,0.283
10,50,3,0,0,5,bayesian_weighted,32,0.388
10,50,3,0,0,5,bayesian_weighted,33,0.409
10,50,3,0,0,5,bayesian_weighted,34,0.304
10,50,3,0,0,5,bayesian_weighted,35,0.281
10,50,3,0,0,5,bayesian_weighted,36,0.413
10,50,3,0,0,5,bayesian_weighted,37,0.342
10,50,3,0,0,5,bayesian_weighted,38,0.362
10,50,3,0,0,5,bayesian_weighted,39,0.219
10,50,3,0,0,5,bayesian_weighted,40,0.321
10,50,3,0,0,5,bayesian_weighted,41,0.271
10,50,3,0,0,5,bayesian_weighted,42,0.369
10,50,3,0,0,5,bayesian_weighted,43,0.284
10,50,3,0,0,5,bayesian_weighted,44,0.301
10,50,3,0,0,5,bayesian_weighted,45,0.331
10,50,3,0,0,5,bayesian_weighted,46,0.342
10,50,3,0,0,5,bayesian_weighted,47,0.348
10,50,3,0,0,5,bayesian_weighted,48,0.369
10,50,3,0,0,5,bayesian_weighted,49,0.254
10,50,3,0,0,5,bayesian_weighted,50,0.212
