Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Round,Global Accuracy
70,3,1,1,0.078
70,3,1,2,0.202
70,3,1,3,0.253
70,3,1,4,0.324
70,3,1,5,0.405
70,3,1,6,0.409
70,3,1,7,0.416
70,3,1,8,0.417
70,3,1,9,0.442
70,3,1,10,0.446
70,3,1,11,0.463
70,3,1,12,0.457
70,3,1,13,0.476
70,3,1,14,0.455
70,3,1,15,0.461
70,3,1,16,0.458
70,3,1,17,0.467
70,3,1,18,0.458
70,3,1,19,0.465
70,3,1,20,0.455
70,3,1,21,0.464
70,3,1,22,0.46
70,3,1,23,0.439
70,3,1,24,0.476
70,3,1,25,0.444
70,3,1,26,0.465
70,3,1,27,0.447
70,3,1,28,0.446
70,3,1,29,0.463
70,3,1,30,0.471
70,3,1,31,0.473
70,3,1,32,0.445
70,3,1,33,0.465
70,3,1,34,0.474
70,3,1,35,0.486
70,3,1,36,0.465
70,3,1,37,0.459
70,3,1,38,0.442
70,3,1,39,0.452
70,3,1,40,0.471
70,3,1,41,0.436
70,3,1,42,0.457
70,3,1,43,0.445
70,3,1,44,0.462
70,3,1,45,0.467
70,3,1,46,0.464
70,3,1,47,0.455
70,3,1,48,0.437
70,3,1,49,0.435
70,3,1,50,0.453
70,3,1,51,0.441
70,3,1,52,0.395
70,3,1,53,0.463
70,3,1,54,0.431
70,3,1,55,0.422
70,3,1,56,0.374
70,3,1,57,0.422
70,3,1,58,0.429
70,3,1,59,0.456
70,3,1,60,0.449
70,3,1,61,0.416
70,3,1,62,0.403
70,3,1,63,0.411
70,3,1,64,0.405
70,3,1,65,0.41
70,3,1,66,0.429
70,3,1,67,0.382
70,3,1,68,0.423
70,3,1,69,0.418
70,3,1,70,0.411
70,3,2,1,0.108
70,3,2,2,0.078
70,3,2,3,0.269
70,3,2,4,0.309
70,3,2,5,0.344
70,3,2,6,0.331
70,3,2,7,0.334
70,3,2,8,0.383
70,3,2,9,0.31
70,3,2,10,0.405
70,3,2,11,0.396
70,3,2,12,0.389
70,3,2,13,0.39
70,3,2,14,0.39
70,3,2,15,0.408
70,3,2,16,0.428
