Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.108
10,40,3,0,0,5,dropout_mean,2,0.167
10,40,3,0,0,5,dropout_mean,3,0.135
10,40,3,0,0,5,dropout_mean,4,0.302
10,40,3,0,0,5,dropout_mean,5,0.35
10,40,3,0,0,5,dropout_mean,6,0.209
10,40,3,0,0,5,dropout_mean,7,0.331
10,40,3,0,0,5,dropout_mean,8,0.376
10,40,3,0,0,5,dropout_mean,9,0.452
10,40,3,0,0,5,dropout_mean,10,0.454
10,40,3,0,0,5,dropout_mean,11,0.392
10,40,3,0,0,5,dropout_mean,12,0.392
10,40,3,0,0,5,dropout_mean,13,0.379
10,40,3,0,0,5,dropout_mean,14,0.239
10,40,3,0,0,5,dropout_mean,15,0.473
10,40,3,0,0,5,dropout_mean,16,0.477
10,40,3,0,0,5,dropout_mean,17,0.463
10,40,3,0,0,5,dropout_mean,18,0.389
10,40,3,0,0,5,dropout_mean,19,0.368
10,40,3,0,0,5,dropout_mean,20,0.431
10,40,3,0,0,5,dropout_mean,21,0.351
10,40,3,0,0,5,dropout_mean,22,0.385
10,40,3,0,0,5,dropout_mean,23,0.474
10,40,3,0,0,5,dropout_mean,24,0.485
10,40,3,0,0,5,dropout_mean,25,0.473
10,40,3,0,0,5,dropout_mean,26,0.448
10,40,3,0,0,5,dropout_mean,27,0.507
10,40,3,0,0,5,dropout_mean,28,0.479
10,40,3,0,0,5,dropout_mean,29,0.405
10,40,3,0,0,5,dropout_mean,30,0.42
10,40,3,0,0,5,dropout_mean,31,0.501
10,40,3,0,0,5,dropout_mean,32,0.21
10,40,3,0,0,5,dropout_mean,33,0.496
10,40,3,0,0,5,dropout_mean,34,0.382
10,40,3,0,0,5,dropout_mean,35,0.239
10,40,3,0,0,5,dropout_mean,36,0.375
10,40,3,0,0,5,dropout_mean,37,0.175
10,40,3,0,0,5,dropout_mean,38,0.405
10,40,3,0,0,5,dropout_mean,39,0.37
10,40,3,0,0,5,dropout_mean,40,0.478
