Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.078
10,40,3,0,0,5,dropout_mean,2,0.082
10,40,3,0,0,5,dropout_mean,3,0.114
10,40,3,0,0,5,dropout_mean,4,0.217
10,40,3,0,0,5,dropout_mean,5,0.371
10,40,3,0,0,5,dropout_mean,6,0.331
10,40,3,0,0,5,dropout_mean,7,0.2
10,40,3,0,0,5,dropout_mean,8,0.139
10,40,3,0,0,5,dropout_mean,9,0.136
10,40,3,0,0,5,dropout_mean,10,0.268
10,40,3,0,0,5,dropout_mean,11,0.415
10,40,3,0,0,5,dropout_mean,12,0.305
10,40,3,0,0,5,dropout_mean,13,0.12
10,40,3,0,0,5,dropout_mean,14,0.257
10,40,3,0,0,5,dropout_mean,15,0.168
10,40,3,0,0,5,dropout_mean,16,0.227
10,40,3,0,0,5,dropout_mean,17,0.241
10,40,3,0,0,5,dropout_mean,18,0.254
10,40,3,0,0,5,dropout_mean,19,0.285
10,40,3,0,0,5,dropout_mean,20,0.13
10,40,3,0,0,5,dropout_mean,21,0.317
10,40,3,0,0,5,dropout_mean,22,0.125
10,40,3,0,0,5,dropout_mean,23,0.419
10,40,3,0,0,5,dropout_mean,24,0.154
10,40,3,0,0,5,dropout_mean,25,0.124
10,40,3,0,0,5,dropout_mean,26,0.25
10,40,3,0,0,5,dropout_mean,27,0.44
10,40,3,0,0,5,dropout_mean,28,0.33
10,40,3,0,0,5,dropout_mean,29,0.313
10,40,3,0,0,5,dropout_mean,30,0.21
10,40,3,0,0,5,dropout_mean,31,0.44
10,40,3,0,0,5,dropout_mean,32,0.458
10,40,3,0,0,5,dropout_mean,33,0.331
10,40,3,0,0,5,dropout_mean,34,0.114
10,40,3,0,0,5,dropout_mean,35,0.34
10,40,3,0,0,5,dropout_mean,36,0.084
10,40,3,0,0,5,dropout_mean,37,0.116
10,40,3,0,0,5,dropout_mean,38,0.205
10,40,3,0,0,5,dropout_mean,39,0.467
10,40,3,0,0,5,dropout_mean,40,0.154
