Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.108
10,40,3,0,0,5,dropout_mean,2,0.108
10,40,3,0,0,5,dropout_mean,3,0.231
10,40,3,0,0,5,dropout_mean,4,0.217
10,40,3,0,0,5,dropout_mean,5,0.25
10,40,3,0,0,5,dropout_mean,6,0.187
10,40,3,0,0,5,dropout_mean,7,0.333
10,40,3,0,0,5,dropout_mean,8,0.354
10,40,3,0,0,5,dropout_mean,9,0.296
10,40,3,0,0,5,dropout_mean,10,0.295
10,40,3,0,0,5,dropout_mean,11,0.353
10,40,3,0,0,5,dropout_mean,12,0.341
10,40,3,0,0,5,dropout_mean,13,0.321
10,40,3,0,0,5,dropout_mean,14,0.294
10,40,3,0,0,5,dropout_mean,15,0.232
10,40,3,0,0,5,dropout_mean,16,0.35
10,40,3,0,0,5,dropout_mean,17,0.281
10,40,3,0,0,5,dropout_mean,18,0.115
10,40,3,0,0,5,dropout_mean,19,0.203
10,40,3,0,0,5,dropout_mean,20,0.246
10,40,3,0,0,5,dropout_mean,21,0.266
10,40,3,0,0,5,dropout_mean,22,0.243
10,40,3,0,0,5,dropout_mean,23,0.278
10,40,3,0,0,5,dropout_mean,24,0.361
10,40,3,0,0,5,dropout_mean,25,0.284
10,40,3,0,0,5,dropout_mean,26,0.207
10,40,3,0,0,5,dropout_mean,27,0.217
10,40,3,0,0,5,dropout_mean,28,0.387
10,40,3,0,0,5,dropout_mean,29,0.233
10,40,3,0,0,5,dropout_mean,30,0.191
10,40,3,0,0,5,dropout_mean,31,0.245
10,40,3,0,0,5,dropout_mean,32,0.305
10,40,3,0,0,5,dropout_mean,33,0.274
10,40,3,0,0,5,dropout_mean,34,0.324
10,40,3,0,0,5,dropout_mean,35,0.312
10,40,3,0,0,5,dropout_mean,36,0.318
10,40,3,0,0,5,dropout_mean,37,0.454
10,40,3,0,0,5,dropout_mean,38,0.184
10,40,3,0,0,5,dropout_mean,39,0.221
10,40,3,0,0,5,dropout_mean,40,0.294
