Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,dropout_mean,1,0.09587123862841147
7,40,3,0,0,5,dropout_mean,2,0.17774667599720084
7,40,3,0,0,5,dropout_mean,3,0.21483554933519944
7,40,3,0,0,5,dropout_mean,4,0.2925122463261022
7,40,3,0,0,5,dropout_mean,5,0.258222533240028
7,40,3,0,0,5,dropout_mean,6,0.31280615815255425
7,40,3,0,0,5,dropout_mean,7,0.3568929321203639
7,40,3,0,0,5,dropout_mean,8,0.3365990202939118
7,40,3,0,0,5,dropout_mean,9,0.3344996501049685
7,40,3,0,0,5,dropout_mean,10,0.27571728481455565
7,40,3,0,0,5,dropout_mean,11,0.27991602519244224
7,40,3,0,0,5,dropout_mean,12,0.3813855843247026
7,40,3,0,0,5,dropout_mean,13,0.244926522043387
7,40,3,0,0,5,dropout_mean,14,0.34919524142757175
7,40,3,0,0,5,dropout_mean,15,0.31630510846745974
7,40,3,0,0,5,dropout_mean,16,0.3254023792862141
7,40,3,0,0,5,dropout_mean,17,0.38978306508047583
7,40,3,0,0,5,dropout_mean,18,0.3219034289713086
7,40,3,0,0,5,dropout_mean,19,0.3205038488453464
7,40,3,0,0,5,dropout_mean,20,0.357592722183345
7,40,3,0,0,5,dropout_mean,21,0.32260321903428973
7,40,3,0,0,5,dropout_mean,22,0.410776766969909
7,40,3,0,0,5,dropout_mean,23,0.3981805458362491
7,40,3,0,0,5,dropout_mean,24,0.3344996501049685
7,40,3,0,0,5,dropout_mean,25,0.33869839048285516
7,40,3,0,0,5,dropout_mean,26,0.3107067879636109
7,40,3,0,0,5,dropout_mean,27,0.3365990202939118
7,40,3,0,0,5,dropout_mean,28,0.3365990202939118
7,40,3,0,0,5,dropout_mean,29,0.363890832750175
7,40,3,0,0,5,dropout_mean,30,0.34289713086074175
7,40,3,0,0,5,dropout_mean,31,0.35339398180545833
7,40,3,0,0,5,dropout_mean,32,0.363890832750175
7,40,3,0,0,5,dropout_mean,33,0.40377886634009796
7,40,3,0,0,5,dropout_mean,34,0.32330300909727083
7,40,3,0,0,5,dropout_mean,35,0.31350594821553535
7,40,3,0,0,5,dropout_mean,36,0.38908327501749473
7,40,3,0,0,5,dropout_mean,37,0.3617914625612316
7,40,3,0,0,5,dropout_mean,38,0.3351994401679496
7,40,3,0,0,5,dropout_mean,39,0.3645906228131561
7,40,3,0,0,5,dropout_mean,40,0.35129461161651504
