Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,dropout_mean,1,0.10846745976207138
7,40,3,0,0,5,dropout_mean,2,0.10916724982505248
7,40,3,0,0,5,dropout_mean,3,0.0986703988803359
7,40,3,0,0,5,dropout_mean,4,0.3337998600419874
7,40,3,0,0,5,dropout_mean,5,0.22743177046885935
7,40,3,0,0,5,dropout_mean,6,0.11196641007697691
7,40,3,0,0,5,dropout_mean,7,0.19384184744576627
7,40,3,0,0,5,dropout_mean,8,0.27991602519244224
7,40,3,0,0,5,dropout_mean,9,0.21413575927221834
7,40,3,0,0,5,dropout_mean,10,0.10356892932120364
7,40,3,0,0,5,dropout_mean,11,0.1245626312106368
7,40,3,0,0,5,dropout_mean,12,0.22533240027991602
7,40,3,0,0,5,dropout_mean,13,0.22463261021693492
7,40,3,0,0,5,dropout_mean,14,0.28481455563331
7,40,3,0,0,5,dropout_mean,15,0.11756473058082575
7,40,3,0,0,5,dropout_mean,16,0.09447165850244926
7,40,3,0,0,5,dropout_mean,17,0.10776766969909027
7,40,3,0,0,5,dropout_mean,18,0.09587123862841147
7,40,3,0,0,5,dropout_mean,19,0.09447165850244926
7,40,3,0,0,5,dropout_mean,20,0.09447165850244926
7,40,3,0,0,5,dropout_mean,21,0.09447165850244926
7,40,3,0,0,5,dropout_mean,22,0.1000699790062981
7,40,3,0,0,5,dropout_mean,23,0.09587123862841147
7,40,3,0,0,5,dropout_mean,24,0.09447165850244926
7,40,3,0,0,5,dropout_mean,25,0.0986703988803359
7,40,3,0,0,5,dropout_mean,26,0.09587123862841147
7,40,3,0,0,5,dropout_mean,27,0.09447165850244926
7,40,3,0,0,5,dropout_mean,28,0.09447165850244926
7,40,3,0,0,5,dropout_mean,29,0.10776766969909027
7,40,3,0,0,5,dropout_mean,30,0.10356892932120364
7,40,3,0,0,5,dropout_mean,31,0.10356892932120364
7,40,3,0,0,5,dropout_mean,32,0.10286913925822254
7,40,3,0,0,5,dropout_mean,33,0.09587123862841147
7,40,3,0,0,5,dropout_mean,34,0.09167249825052484
7,40,3,0,0,5,dropout_mean,35,0.0986703988803359
7,40,3,0,0,5,dropout_mean,36,0.10286913925822254
7,40,3,0,0,5,dropout_mean,37,0.10916724982505248
7,40,3,0,0,5,dropout_mean,38,0.10286913925822254
7,40,3,0,0,5,dropout_mean,39,0.09447165850244926
7,40,3,0,0,5,dropout_mean,40,0.09587123862841147
