Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,dropout_mean,1,0.21203638908327502
7,40,3,0,0,5,dropout_mean,2,0.2554233729881036
7,40,3,0,0,5,dropout_mean,3,0.24422673198040587
7,40,3,0,0,5,dropout_mean,4,0.1000699790062981
7,40,3,0,0,5,dropout_mean,5,0.09587123862841147
7,40,3,0,0,5,dropout_mean,6,0.1000699790062981
7,40,3,0,0,5,dropout_mean,7,0.09727081875437368
7,40,3,0,0,5,dropout_mean,8,0.09727081875437368
7,40,3,0,0,5,dropout_mean,9,0.10916724982505248
7,40,3,0,0,5,dropout_mean,10,0.10356892932120364
7,40,3,0,0,5,dropout_mean,11,0.10076976906927922
7,40,3,0,0,5,dropout_mean,12,0.09727081875437368
7,40,3,0,0,5,dropout_mean,13,0.10356892932120364
7,40,3,0,0,5,dropout_mean,14,0.10356892932120364
7,40,3,0,0,5,dropout_mean,15,0.09657102869139259
7,40,3,0,0,5,dropout_mean,16,0.11056682995101469
7,40,3,0,0,5,dropout_mean,17,0.09587123862841147
7,40,3,0,0,5,dropout_mean,18,0.10216934919524143
7,40,3,0,0,5,dropout_mean,19,0.10986703988803359
7,40,3,0,0,5,dropout_mean,20,0.09657102869139259
7,40,3,0,0,5,dropout_mean,21,0.09307207837648705
7,40,3,0,0,5,dropout_mean,22,0.09587123862841147
7,40,3,0,0,5,dropout_mean,23,0.099370188943317
7,40,3,0,0,5,dropout_mean,24,0.099370188943317
7,40,3,0,0,5,dropout_mean,25,0.099370188943317
7,40,3,0,0,5,dropout_mean,26,0.099370188943317
7,40,3,0,0,5,dropout_mean,27,0.099370188943317
7,40,3,0,0,5,dropout_mean,28,0.1000699790062981
7,40,3,0,0,5,dropout_mean,29,0.09587123862841147
7,40,3,0,0,5,dropout_mean,30,0.09587123862841147
7,40,3,0,0,5,dropout_mean,31,0.09587123862841147
7,40,3,0,0,5,dropout_mean,32,0.09587123862841147
7,40,3,0,0,5,dropout_mean,33,0.09587123862841147
7,40,3,0,0,5,dropout_mean,34,0.09587123862841147
7,40,3,0,0,5,dropout_mean,35,0.09587123862841147
7,40,3,0,0,5,dropout_mean,36,0.09587123862841147
7,40,3,0,0,5,dropout_mean,37,0.09587123862841147
7,40,3,0,0,5,dropout_mean,38,0.09587123862841147
7,40,3,0,0,5,dropout_mean,39,0.09587123862841147
7,40,3,0,0,5,dropout_mean,40,0.09587123862841147
