Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.109
10,40,3,0,0,5,dropout_mean,2,0.109
10,40,3,0,0,5,dropout_mean,3,0.151
10,40,3,0,0,5,dropout_mean,4,0.164
10,40,3,0,0,5,dropout_mean,5,0.152
10,40,3,0,0,5,dropout_mean,6,0.232
10,40,3,0,0,5,dropout_mean,7,0.366
10,40,3,0,0,5,dropout_mean,8,0.305
10,40,3,0,0,5,dropout_mean,9,0.206
10,40,3,0,0,5,dropout_mean,10,0.308
10,40,3,0,0,5,dropout_mean,11,0.299
10,40,3,0,0,5,dropout_mean,12,0.295
10,40,3,0,0,5,dropout_mean,13,0.331
10,40,3,0,0,5,dropout_mean,14,0.329
10,40,3,0,0,5,dropout_mean,15,0.218
10,40,3,0,0,5,dropout_mean,16,0.226
10,40,3,0,0,5,dropout_mean,17,0.231
10,40,3,0,0,5,dropout_mean,18,0.296
10,40,3,0,0,5,dropout_mean,19,0.264
10,40,3,0,0,5,dropout_mean,20,0.132
10,40,3,0,0,5,dropout_mean,21,0.344
10,40,3,0,0,5,dropout_mean,22,0.222
10,40,3,0,0,5,dropout_mean,23,0.416
10,40,3,0,0,5,dropout_mean,24,0.337
10,40,3,0,0,5,dropout_mean,25,0.267
10,40,3,0,0,5,dropout_mean,26,0.251
10,40,3,0,0,5,dropout_mean,27,0.227
10,40,3,0,0,5,dropout_mean,28,0.134
10,40,3,0,0,5,dropout_mean,29,0.305
10,40,3,0,0,5,dropout_mean,30,0.185
10,40,3,0,0,5,dropout_mean,31,0.182
10,40,3,0,0,5,dropout_mean,32,0.331
10,40,3,0,0,5,dropout_mean,33,0.281
10,40,3,0,0,5,dropout_mean,34,0.155
10,40,3,0,0,5,dropout_mean,35,0.155
10,40,3,0,0,5,dropout_mean,36,0.277
10,40,3,0,0,5,dropout_mean,37,0.141
10,40,3,0,0,5,dropout_mean,38,0.15
10,40,3,0,0,5,dropout_mean,39,0.107
10,40,3,0,0,5,dropout_mean,40,0.182
