Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_mean,1,0.103
10,50,3,0,0,5,dropout_mean,2,0.114
10,50,3,0,0,5,dropout_mean,3,0.222
10,50,3,0,0,5,dropout_mean,4,0.207
10,50,3,0,0,5,dropout_mean,5,0.359
10,50,3,0,0,5,dropout_mean,6,0.366
10,50,3,0,0,5,dropout_mean,7,0.358
10,50,3,0,0,5,dropout_mean,8,0.36
10,50,3,0,0,5,dropout_mean,9,0.401
10,50,3,0,0,5,dropout_mean,10,0.402
10,50,3,0,0,5,dropout_mean,11,0.338
10,50,3,0,0,5,dropout_mean,12,0.34
10,50,3,0,0,5,dropout_mean,13,0.27
10,50,3,0,0,5,dropout_mean,14,0.397
10,50,3,0,0,5,dropout_mean,15,0.324
10,50,3,0,0,5,dropout_mean,16,0.383
10,50,3,0,0,5,dropout_mean,17,0.402
10,50,3,0,0,5,dropout_mean,18,0.439
10,50,3,0,0,5,dropout_mean,19,0.279
10,50,3,0,0,5,dropout_mean,20,0.42
10,50,3,0,0,5,dropout_mean,21,0.422
10,50,3,0,0,5,dropout_mean,22,0.402
10,50,3,0,0,5,dropout_mean,23,0.449
10,50,3,0,0,5,dropout_mean,24,0.374
10,50,3,0,0,5,dropout_mean,25,0.301
10,50,3,0,0,5,dropout_mean,26,0.278
10,50,3,0,0,5,dropout_mean,27,0.457
10,50,3,0,0,5,dropout_mean,28,0.155
10,50,3,0,0,5,dropout_mean,29,0.196
10,50,3,0,0,5,dropout_mean,30,0.273
10,50,3,0,0,5,dropout_mean,31,0.404
10,50,3,0,0,5,dropout_mean,32,0.408
10,50,3,0,0,5,dropout_mean,33,0.308
10,50,3,0,0,5,dropout_mean,34,0.441
10,50,3,0,0,5,dropout_mean,35,0.125
10,50,3,0,0,5,dropout_mean,36,0.407
10,50,3,0,0,5,dropout_mean,37,0.462
10,50,3,0,0,5,dropout_mean,38,0.45
10,50,3,0,0,5,dropout_mean,39,0.246
10,50,3,0,0,5,dropout_mean,40,0.405
10,50,3,0,0,5,dropout_mean,41,0.308
10,50,3,0,0,5,dropout_mean,42,0.391
10,50,3,0,0,5,dropout_mean,43,0.369
10,50,3,0,0,5,dropout_mean,44,0.244
10,50,3,0,0,5,dropout_mean,45,0.374
10,50,3,0,0,5,dropout_mean,46,0.202
10,50,3,0,0,5,dropout_mean,47,0.188
10,50,3,0,0,5,dropout_mean,48,0.128
10,50,3,0,0,5,dropout_mean,49,0.209
10,50,3,0,0,5,dropout_mean,50,0.403
