Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_mean,1,0.078
10,50,3,0,0,5,dropout_mean,2,0.114
10,50,3,0,0,5,dropout_mean,3,0.115
10,50,3,0,0,5,dropout_mean,4,0.243
10,50,3,0,0,5,dropout_mean,5,0.13
10,50,3,0,0,5,dropout_mean,6,0.291
10,50,3,0,0,5,dropout_mean,7,0.228
10,50,3,0,0,5,dropout_mean,8,0.265
10,50,3,0,0,5,dropout_mean,9,0.329
10,50,3,0,0,5,dropout_mean,10,0.239
10,50,3,0,0,5,dropout_mean,11,0.268
10,50,3,0,0,5,dropout_mean,12,0.23
10,50,3,0,0,5,dropout_mean,13,0.1
10,50,3,0,0,5,dropout_mean,14,0.19
10,50,3,0,0,5,dropout_mean,15,0.201
10,50,3,0,0,5,dropout_mean,16,0.358
10,50,3,0,0,5,dropout_mean,17,0.258
10,50,3,0,0,5,dropout_mean,18,0.334
10,50,3,0,0,5,dropout_mean,19,0.359
10,50,3,0,0,5,dropout_mean,20,0.328
10,50,3,0,0,5,dropout_mean,21,0.255
10,50,3,0,0,5,dropout_mean,22,0.234
10,50,3,0,0,5,dropout_mean,23,0.325
10,50,3,0,0,5,dropout_mean,24,0.174
10,50,3,0,0,5,dropout_mean,25,0.17
10,50,3,0,0,5,dropout_mean,26,0.149
10,50,3,0,0,5,dropout_mean,27,0.26
10,50,3,0,0,5,dropout_mean,28,0.193
10,50,3,0,0,5,dropout_mean,29,0.254
10,50,3,0,0,5,dropout_mean,30,0.258
10,50,3,0,0,5,dropout_mean,31,0.159
10,50,3,0,0,5,dropout_mean,32,0.152
10,50,3,0,0,5,dropout_mean,33,0.26
10,50,3,0,0,5,dropout_mean,34,0.164
10,50,3,0,0,5,dropout_mean,35,0.256
10,50,3,0,0,5,dropout_mean,36,0.235
10,50,3,0,0,5,dropout_mean,37,0.259
10,50,3,0,0,5,dropout_mean,38,0.116
10,50,3,0,0,5,dropout_mean,39,0.111
10,50,3,0,0,5,dropout_mean,40,0.094
10,50,3,0,0,5,dropout_mean,41,0.223
10,50,3,0,0,5,dropout_mean,42,0.141
10,50,3,0,0,5,dropout_mean,43,0.144
10,50,3,0,0,5,dropout_mean,44,0.096
10,50,3,0,0,5,dropout_mean,45,0.117
10,50,3,0,0,5,dropout_mean,46,0.222
10,50,3,0,0,5,dropout_mean,47,0.17
10,50,3,0,0,5,dropout_mean,48,0.344
10,50,3,0,0,5,dropout_mean,49,0.228
10,50,3,0,0,5,dropout_mean,50,0.254
