Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.103
10,40,3,0,0,5,dropout_mean,2,0.109
10,40,3,0,0,5,dropout_mean,3,0.109
10,40,3,0,0,5,dropout_mean,4,0.137
10,40,3,0,0,5,dropout_mean,5,0.134
10,40,3,0,0,5,dropout_mean,6,0.11
10,40,3,0,0,5,dropout_mean,7,0.31
10,40,3,0,0,5,dropout_mean,8,0.256
10,40,3,0,0,5,dropout_mean,9,0.35
10,40,3,0,0,5,dropout_mean,10,0.332
10,40,3,0,0,5,dropout_mean,11,0.34
10,40,3,0,0,5,dropout_mean,12,0.172
10,40,3,0,0,5,dropout_mean,13,0.369
10,40,3,0,0,5,dropout_mean,14,0.245
10,40,3,0,0,5,dropout_mean,15,0.234
10,40,3,0,0,5,dropout_mean,16,0.15
10,40,3,0,0,5,dropout_mean,17,0.28
10,40,3,0,0,5,dropout_mean,18,0.205
10,40,3,0,0,5,dropout_mean,19,0.197
10,40,3,0,0,5,dropout_mean,20,0.369
10,40,3,0,0,5,dropout_mean,21,0.117
10,40,3,0,0,5,dropout_mean,22,0.245
10,40,3,0,0,5,dropout_mean,23,0.284
10,40,3,0,0,5,dropout_mean,24,0.314
10,40,3,0,0,5,dropout_mean,25,0.14
10,40,3,0,0,5,dropout_mean,26,0.279
10,40,3,0,0,5,dropout_mean,27,0.125
10,40,3,0,0,5,dropout_mean,28,0.109
10,40,3,0,0,5,dropout_mean,29,0.107
10,40,3,0,0,5,dropout_mean,30,0.182
10,40,3,0,0,5,dropout_mean,31,0.271
10,40,3,0,0,5,dropout_mean,32,0.446
10,40,3,0,0,5,dropout_mean,33,0.165
10,40,3,0,0,5,dropout_mean,34,0.136
10,40,3,0,0,5,dropout_mean,35,0.241
10,40,3,0,0,5,dropout_mean,36,0.127
10,40,3,0,0,5,dropout_mean,37,0.357
10,40,3,0,0,5,dropout_mean,38,0.298
10,40,3,0,0,5,dropout_mean,39,0.189
10,40,3,0,0,5,dropout_mean,40,0.107
