Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.1
10,40,3,0,0,5,dropout_mean,2,0.126
10,40,3,0,0,5,dropout_mean,3,0.189
10,40,3,0,0,5,dropout_mean,4,0.244
10,40,3,0,0,5,dropout_mean,5,0.286
10,40,3,0,0,5,dropout_mean,6,0.228
10,40,3,0,0,5,dropout_mean,7,0.303
10,40,3,0,0,5,dropout_mean,8,0.325
10,40,3,0,0,5,dropout_mean,9,0.254
10,40,3,0,0,5,dropout_mean,10,0.239
10,40,3,0,0,5,dropout_mean,11,0.354
10,40,3,0,0,5,dropout_mean,12,0.12
10,40,3,0,0,5,dropout_mean,13,0.31
10,40,3,0,0,5,dropout_mean,14,0.231
10,40,3,0,0,5,dropout_mean,15,0.4
10,40,3,0,0,5,dropout_mean,16,0.294
10,40,3,0,0,5,dropout_mean,17,0.333
10,40,3,0,0,5,dropout_mean,18,0.254
10,40,3,0,0,5,dropout_mean,19,0.173
10,40,3,0,0,5,dropout_mean,20,0.273
10,40,3,0,0,5,dropout_mean,21,0.242
10,40,3,0,0,5,dropout_mean,22,0.436
10,40,3,0,0,5,dropout_mean,23,0.276
10,40,3,0,0,5,dropout_mean,24,0.425
10,40,3,0,0,5,dropout_mean,25,0.389
10,40,3,0,0,5,dropout_mean,26,0.317
10,40,3,0,0,5,dropout_mean,27,0.33
10,40,3,0,0,5,dropout_mean,28,0.38
10,40,3,0,0,5,dropout_mean,29,0.181
10,40,3,0,0,5,dropout_mean,30,0.353
10,40,3,0,0,5,dropout_mean,31,0.374
10,40,3,0,0,5,dropout_mean,32,0.302
10,40,3,0,0,5,dropout_mean,33,0.163
10,40,3,0,0,5,dropout_mean,34,0.275
10,40,3,0,0,5,dropout_mean,35,0.419
10,40,3,0,0,5,dropout_mean,36,0.38
10,40,3,0,0,5,dropout_mean,37,0.386
10,40,3,0,0,5,dropout_mean,38,0.28
10,40,3,0,0,5,dropout_mean,39,0.281
10,40,3,0,0,5,dropout_mean,40,0.288
