Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.079
10,40,3,0,0,5,dropout_mean,2,0.141
10,40,3,0,0,5,dropout_mean,3,0.177
10,40,3,0,0,5,dropout_mean,4,0.295
10,40,3,0,0,5,dropout_mean,5,0.278
10,40,3,0,0,5,dropout_mean,6,0.31
10,40,3,0,0,5,dropout_mean,7,0.344
10,40,3,0,0,5,dropout_mean,8,0.354
10,40,3,0,0,5,dropout_mean,9,0.378
10,40,3,0,0,5,dropout_mean,10,0.403
10,40,3,0,0,5,dropout_mean,11,0.413
10,40,3,0,0,5,dropout_mean,12,0.386
10,40,3,0,0,5,dropout_mean,13,0.407
10,40,3,0,0,5,dropout_mean,14,0.415
10,40,3,0,0,5,dropout_mean,15,0.412
10,40,3,0,0,5,dropout_mean,16,0.426
10,40,3,0,0,5,dropout_mean,17,0.385
10,40,3,0,0,5,dropout_mean,18,0.47
10,40,3,0,0,5,dropout_mean,19,0.384
10,40,3,0,0,5,dropout_mean,20,0.422
10,40,3,0,0,5,dropout_mean,21,0.34
10,40,3,0,0,5,dropout_mean,22,0.434
10,40,3,0,0,5,dropout_mean,23,0.382
10,40,3,0,0,5,dropout_mean,24,0.409
10,40,3,0,0,5,dropout_mean,25,0.325
10,40,3,0,0,5,dropout_mean,26,0.408
10,40,3,0,0,5,dropout_mean,27,0.415
10,40,3,0,0,5,dropout_mean,28,0.441
10,40,3,0,0,5,dropout_mean,29,0.44
10,40,3,0,0,5,dropout_mean,30,0.349
10,40,3,0,0,5,dropout_mean,31,0.368
10,40,3,0,0,5,dropout_mean,32,0.419
10,40,3,0,0,5,dropout_mean,33,0.487
10,40,3,0,0,5,dropout_mean,34,0.48
10,40,3,0,0,5,dropout_mean,35,0.441
10,40,3,0,0,5,dropout_mean,36,0.401
10,40,3,0,0,5,dropout_mean,37,0.477
10,40,3,0,0,5,dropout_mean,38,0.438
10,40,3,0,0,5,dropout_mean,39,0.437
10,40,3,0,0,5,dropout_mean,40,0.371
