Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_mean,1,0.108
10,50,3,0,0,5,dropout_mean,2,0.187
10,50,3,0,0,5,dropout_mean,3,0.295
10,50,3,0,0,5,dropout_mean,4,0.341
10,50,3,0,0,5,dropout_mean,5,0.36
10,50,3,0,0,5,dropout_mean,6,0.336
10,50,3,0,0,5,dropout_mean,7,0.397
10,50,3,0,0,5,dropout_mean,8,0.253
10,50,3,0,0,5,dropout_mean,9,0.227
10,50,3,0,0,5,dropout_mean,10,0.372
10,50,3,0,0,5,dropout_mean,11,0.372
10,50,3,0,0,5,dropout_mean,12,0.326
10,50,3,0,0,5,dropout_mean,13,0.305
10,50,3,0,0,5,dropout_mean,14,0.275
10,50,3,0,0,5,dropout_mean,15,0.311
10,50,3,0,0,5,dropout_mean,16,0.366
10,50,3,0,0,5,dropout_mean,17,0.37
10,50,3,0,0,5,dropout_mean,18,0.392
10,50,3,0,0,5,dropout_mean,19,0.351
10,50,3,0,0,5,dropout_mean,20,0.233
10,50,3,0,0,5,dropout_mean,21,0.439
10,50,3,0,0,5,dropout_mean,22,0.364
10,50,3,0,0,5,dropout_mean,23,0.311
10,50,3,0,0,5,dropout_mean,24,0.263
10,50,3,0,0,5,dropout_mean,25,0.396
10,50,3,0,0,5,dropout_mean,26,0.407
10,50,3,0,0,5,dropout_mean,27,0.388
10,50,3,0,0,5,dropout_mean,28,0.37
10,50,3,0,0,5,dropout_mean,29,0.388
10,50,3,0,0,5,dropout_mean,30,0.316
10,50,3,0,0,5,dropout_mean,31,0.445
10,50,3,0,0,5,dropout_mean,32,0.175
10,50,3,0,0,5,dropout_mean,33,0.377
10,50,3,0,0,5,dropout_mean,34,0.206
10,50,3,0,0,5,dropout_mean,35,0.33
10,50,3,0,0,5,dropout_mean,36,0.44
10,50,3,0,0,5,dropout_mean,37,0.409
10,50,3,0,0,5,dropout_mean,38,0.46
10,50,3,0,0,5,dropout_mean,39,0.381
10,50,3,0,0,5,dropout_mean,40,0.307
10,50,3,0,0,5,dropout_mean,41,0.302
10,50,3,0,0,5,dropout_mean,42,0.349
10,50,3,0,0,5,dropout_mean,43,0.365
10,50,3,0,0,5,dropout_mean,44,0.37
10,50,3,0,0,5,dropout_mean,45,0.442
10,50,3,0,0,5,dropout_mean,46,0.441
10,50,3,0,0,5,dropout_mean,47,0.288
10,50,3,0,0,5,dropout_mean,48,0.34
10,50,3,0,0,5,dropout_mean,49,0.409
10,50,3,0,0,5,dropout_mean,50,0.46
