Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.0895
5,40,3,0,0,5,dropout_median,2,0.162
5,40,3,0,0,5,dropout_median,3,0.2005
5,40,3,0,0,5,dropout_median,4,0.231
5,40,3,0,0,5,dropout_median,5,0.2215
5,40,3,0,0,5,dropout_median,6,0.238
5,40,3,0,0,5,dropout_median,7,0.24
5,40,3,0,0,5,dropout_median,8,0.2545
5,40,3,0,0,5,dropout_median,9,0.2695
5,40,3,0,0,5,dropout_median,10,0.255
5,40,3,0,0,5,dropout_median,11,0.2715
5,40,3,0,0,5,dropout_median,12,0.2405
5,40,3,0,0,5,dropout_median,13,0.266
5,40,3,0,0,5,dropout_median,14,0.2405
5,40,3,0,0,5,dropout_median,15,0.2655
5,40,3,0,0,5,dropout_median,16,0.2665
5,40,3,0,0,5,dropout_median,17,0.267
5,40,3,0,0,5,dropout_median,18,0.275
5,40,3,0,0,5,dropout_median,19,0.253
5,40,3,0,0,5,dropout_median,20,0.254
5,40,3,0,0,5,dropout_median,21,0.273
5,40,3,0,0,5,dropout_median,22,0.281
5,40,3,0,0,5,dropout_median,23,0.2795
5,40,3,0,0,5,dropout_median,24,0.274
5,40,3,0,0,5,dropout_median,25,0.2545
5,40,3,0,0,5,dropout_median,26,0.2595
5,40,3,0,0,5,dropout_median,27,0.274
5,40,3,0,0,5,dropout_median,28,0.2715
5,40,3,0,0,5,dropout_median,29,0.2775
5,40,3,0,0,5,dropout_median,30,0.248
5,40,3,0,0,5,dropout_median,31,0.284
5,40,3,0,0,5,dropout_median,32,0.282
5,40,3,0,0,5,dropout_median,33,0.261
5,40,3,0,0,5,dropout_median,34,0.271
5,40,3,0,0,5,dropout_median,35,0.265
5,40,3,0,0,5,dropout_median,36,0.278
5,40,3,0,0,5,dropout_median,37,0.2735
5,40,3,0,0,5,dropout_median,38,0.2735
5,40,3,0,0,5,dropout_median,39,0.269
5,40,3,0,0,5,dropout_median,40,0.271
