Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.0895
5,40,3,0,0,5,dropout_median,2,0.173
5,40,3,0,0,5,dropout_median,3,0.293
5,40,3,0,0,5,dropout_median,4,0.357
5,40,3,0,0,5,dropout_median,5,0.383
5,40,3,0,0,5,dropout_median,6,0.3805
5,40,3,0,0,5,dropout_median,7,0.406
5,40,3,0,0,5,dropout_median,8,0.403
5,40,3,0,0,5,dropout_median,9,0.416
5,40,3,0,0,5,dropout_median,10,0.4055
5,40,3,0,0,5,dropout_median,11,0.3995
5,40,3,0,0,5,dropout_median,12,0.4115
5,40,3,0,0,5,dropout_median,13,0.4215
5,40,3,0,0,5,dropout_median,14,0.4245
5,40,3,0,0,5,dropout_median,15,0.396
5,40,3,0,0,5,dropout_median,16,0.407
5,40,3,0,0,5,dropout_median,17,0.431
5,40,3,0,0,5,dropout_median,18,0.4255
5,40,3,0,0,5,dropout_median,19,0.412
5,40,3,0,0,5,dropout_median,20,0.391
5,40,3,0,0,5,dropout_median,21,0.3865
5,40,3,0,0,5,dropout_median,22,0.4085
5,40,3,0,0,5,dropout_median,23,0.418
5,40,3,0,0,5,dropout_median,24,0.416
5,40,3,0,0,5,dropout_median,25,0.341
5,40,3,0,0,5,dropout_median,26,0.389
5,40,3,0,0,5,dropout_median,27,0.3895
5,40,3,0,0,5,dropout_median,28,0.3875
5,40,3,0,0,5,dropout_median,29,0.424
5,40,3,0,0,5,dropout_median,30,0.427
5,40,3,0,0,5,dropout_median,31,0.4275
5,40,3,0,0,5,dropout_median,32,0.4375
5,40,3,0,0,5,dropout_median,33,0.4225
5,40,3,0,0,5,dropout_median,34,0.4285
5,40,3,0,0,5,dropout_median,35,0.4245
5,40,3,0,0,5,dropout_median,36,0.433
5,40,3,0,0,5,dropout_median,37,0.404
5,40,3,0,0,5,dropout_median,38,0.412
5,40,3,0,0,5,dropout_median,39,0.444
5,40,3,0,0,5,dropout_median,40,0.4085
