Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.098
5,40,3,0,0,5,dropout_median,2,0.221
5,40,3,0,0,5,dropout_median,3,0.304
5,40,3,0,0,5,dropout_median,4,0.3355
5,40,3,0,0,5,dropout_median,5,0.3295
5,40,3,0,0,5,dropout_median,6,0.3535
5,40,3,0,0,5,dropout_median,7,0.358
5,40,3,0,0,5,dropout_median,8,0.35
5,40,3,0,0,5,dropout_median,9,0.372
5,40,3,0,0,5,dropout_median,10,0.352
5,40,3,0,0,5,dropout_median,11,0.326
5,40,3,0,0,5,dropout_median,12,0.362
5,40,3,0,0,5,dropout_median,13,0.3405
5,40,3,0,0,5,dropout_median,14,0.3665
5,40,3,0,0,5,dropout_median,15,0.321
5,40,3,0,0,5,dropout_median,16,0.3145
5,40,3,0,0,5,dropout_median,17,0.3235
5,40,3,0,0,5,dropout_median,18,0.334
5,40,3,0,0,5,dropout_median,19,0.3215
5,40,3,0,0,5,dropout_median,20,0.3205
5,40,3,0,0,5,dropout_median,21,0.3315
5,40,3,0,0,5,dropout_median,22,0.3155
5,40,3,0,0,5,dropout_median,23,0.3515
5,40,3,0,0,5,dropout_median,24,0.33
5,40,3,0,0,5,dropout_median,25,0.211
5,40,3,0,0,5,dropout_median,26,0.3175
5,40,3,0,0,5,dropout_median,27,0.299
5,40,3,0,0,5,dropout_median,28,0.3035
5,40,3,0,0,5,dropout_median,29,0.2495
5,40,3,0,0,5,dropout_median,30,0.3035
5,40,3,0,0,5,dropout_median,31,0.3095
5,40,3,0,0,5,dropout_median,32,0.312
5,40,3,0,0,5,dropout_median,33,0.319
5,40,3,0,0,5,dropout_median,34,0.315
5,40,3,0,0,5,dropout_median,35,0.308
5,40,3,0,0,5,dropout_median,36,0.3185
5,40,3,0,0,5,dropout_median,37,0.321
5,40,3,0,0,5,dropout_median,38,0.3175
5,40,3,0,0,5,dropout_median,39,0.251
5,40,3,0,0,5,dropout_median,40,0.303
