Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,median,1,0.10286913925822254
7,40,3,0,0,5,median,2,0.2351294611616515
7,40,3,0,0,5,median,3,0.24842547235829252
7,40,3,0,0,5,median,4,0.2554233729881036
7,40,3,0,0,5,median,5,0.2813156053184045
7,40,3,0,0,5,median,6,0.28551434569629114
7,40,3,0,0,5,median,7,0.30300909727081876
7,40,3,0,0,5,median,8,0.298110566829951
7,40,3,0,0,5,median,9,0.2708187543736879
7,40,3,0,0,5,median,10,0.2834149755073478
7,40,3,0,0,5,median,11,0.23932820153953813
7,40,3,0,0,5,median,12,0.22673198040587825
7,40,3,0,0,5,median,13,0.24002799160251925
7,40,3,0,0,5,median,14,0.27921623512946114
7,40,3,0,0,5,median,15,0.271518544436669
7,40,3,0,0,5,median,16,0.22813156053184044
7,40,3,0,0,5,median,17,0.2323303009097271
7,40,3,0,0,5,median,18,0.2351294611616515
7,40,3,0,0,5,median,19,0.22743177046885935
7,40,3,0,0,5,median,20,0.18824352694191743
7,40,3,0,0,5,median,21,0.19454163750874737
7,40,3,0,0,5,median,22,0.21693491952414276
7,40,3,0,0,5,median,23,0.18964310706787962
7,40,3,0,0,5,median,24,0.1350594821553534
7,40,3,0,0,5,median,25,0.14415675297410777
7,40,3,0,0,5,median,26,0.11756473058082575
7,40,3,0,0,5,median,27,0.1469559132260322
7,40,3,0,0,5,median,28,0.15185444366689993
7,40,3,0,0,5,median,29,0.14205738278516444
7,40,3,0,0,5,median,30,0.158852344296711
7,40,3,0,0,5,median,31,0.158852344296711
7,40,3,0,0,5,median,32,0.1490552834149755
7,40,3,0,0,5,median,33,0.158852344296711
7,40,3,0,0,5,median,34,0.1490552834149755
7,40,3,0,0,5,median,35,0.15115465360391883
7,40,3,0,0,5,median,36,0.1490552834149755
7,40,3,0,0,5,median,37,0.17634709587123862
7,40,3,0,0,5,median,38,0.17634709587123862
7,40,3,0,0,5,median,39,0.15115465360391883
7,40,3,0,0,5,median,40,0.17634709587123862
