Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,median,1,0.10286913925822254
7,40,3,0,0,5,median,2,0.23792862141357593
7,40,3,0,0,5,median,3,0.31210636808957315
7,40,3,0,0,5,median,4,0.30440867739678096
7,40,3,0,0,5,median,5,0.30580825752274315
7,40,3,0,0,5,median,6,0.2960111966410077
7,40,3,0,0,5,median,7,0.32470258922323303
7,40,3,0,0,5,median,8,0.2932120363890833
7,40,3,0,0,5,median,9,0.26871938418474456
7,40,3,0,0,5,median,10,0.26731980405878236
7,40,3,0,0,5,median,11,0.2631210636808957
7,40,3,0,0,5,median,12,0.27501749475157455
7,40,3,0,0,5,median,13,0.2617214835549335
7,40,3,0,0,5,median,14,0.26662001399580126
7,40,3,0,0,5,median,15,0.2988103568929321
7,40,3,0,0,5,median,16,0.28551434569629114
7,40,3,0,0,5,median,17,0.26801959412176346
7,40,3,0,0,5,median,18,0.25192442267319803
7,40,3,0,0,5,median,19,0.2232330300909727
7,40,3,0,0,5,median,20,0.21973407977606718
7,40,3,0,0,5,median,21,0.1980405878236529
7,40,3,0,0,5,median,22,0.21483554933519944
7,40,3,0,0,5,median,23,0.1959412176347096
7,40,3,0,0,5,median,24,0.2092372288313506
7,40,3,0,0,5,median,25,0.18404478656403078
7,40,3,0,0,5,median,26,0.2225332400279916
7,40,3,0,0,5,median,27,0.21343596920923724
7,40,3,0,0,5,median,28,0.2232330300909727
7,40,3,0,0,5,median,29,0.18754373687893633
7,40,3,0,0,5,median,30,0.1973407977606718
7,40,3,0,0,5,median,31,0.20363890832750176
7,40,3,0,0,5,median,32,0.10706787963610917
7,40,3,0,0,5,median,33,0.099370188943317
7,40,3,0,0,5,median,34,0.0986703988803359
7,40,3,0,0,5,median,35,0.10286913925822254
7,40,3,0,0,5,median,36,0.1000699790062981
7,40,3,0,0,5,median,37,0.09167249825052484
7,40,3,0,0,5,median,38,0.0986703988803359
7,40,3,0,0,5,median,39,0.0986703988803359
7,40,3,0,0,5,median,40,0.10776766969909027
