Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_median,1,0.087
10,50,3,0,0,5,dropout_median,2,0.114
10,50,3,0,0,5,dropout_median,3,0.105
10,50,3,0,0,5,dropout_median,4,0.208
10,50,3,0,0,5,dropout_median,5,0.156
10,50,3,0,0,5,dropout_median,6,0.151
10,50,3,0,0,5,dropout_median,7,0.135
10,50,3,0,0,5,dropout_median,8,0.151
10,50,3,0,0,5,dropout_median,9,0.114
10,50,3,0,0,5,dropout_median,10,0.186
10,50,3,0,0,5,dropout_median,11,0.207
10,50,3,0,0,5,dropout_median,12,0.204
10,50,3,0,0,5,dropout_median,13,0.203
10,50,3,0,0,5,dropout_median,14,0.13
10,50,3,0,0,5,dropout_median,15,0.164
10,50,3,0,0,5,dropout_median,16,0.223
10,50,3,0,0,5,dropout_median,17,0.176
10,50,3,0,0,5,dropout_median,18,0.147
10,50,3,0,0,5,dropout_median,19,0.159
10,50,3,0,0,5,dropout_median,20,0.133
10,50,3,0,0,5,dropout_median,21,0.174
10,50,3,0,0,5,dropout_median,22,0.228
10,50,3,0,0,5,dropout_median,23,0.246
10,50,3,0,0,5,dropout_median,24,0.181
10,50,3,0,0,5,dropout_median,25,0.149
10,50,3,0,0,5,dropout_median,26,0.164
10,50,3,0,0,5,dropout_median,27,0.191
10,50,3,0,0,5,dropout_median,28,0.211
10,50,3,0,0,5,dropout_median,29,0.141
10,50,3,0,0,5,dropout_median,30,0.209
10,50,3,0,0,5,dropout_median,31,0.218
10,50,3,0,0,5,dropout_median,32,0.158
10,50,3,0,0,5,dropout_median,33,0.178
10,50,3,0,0,5,dropout_median,34,0.195
10,50,3,0,0,5,dropout_median,35,0.223
10,50,3,0,0,5,dropout_median,36,0.111
10,50,3,0,0,5,dropout_median,37,0.138
10,50,3,0,0,5,dropout_median,38,0.194
10,50,3,0,0,5,dropout_median,39,0.186
10,50,3,0,0,5,dropout_median,40,0.168
10,50,3,0,0,5,dropout_median,41,0.18
10,50,3,0,0,5,dropout_median,42,0.139
10,50,3,0,0,5,dropout_median,43,0.131
10,50,3,0,0,5,dropout_median,44,0.113
10,50,3,0,0,5,dropout_median,45,0.132
10,50,3,0,0,5,dropout_median,46,0.15
10,50,3,0,0,5,dropout_median,47,0.163
10,50,3,0,0,5,dropout_median,48,0.167
10,50,3,0,0,5,dropout_median,49,0.241
10,50,3,0,0,5,dropout_median,50,0.169
