Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_median,1,0.103
10,50,3,0,0,5,dropout_median,2,0.123
10,50,3,0,0,5,dropout_median,3,0.229
10,50,3,0,0,5,dropout_median,4,0.116
10,50,3,0,0,5,dropout_median,5,0.231
10,50,3,0,0,5,dropout_median,6,0.2
10,50,3,0,0,5,dropout_median,7,0.206
10,50,3,0,0,5,dropout_median,8,0.21
10,50,3,0,0,5,dropout_median,9,0.206
10,50,3,0,0,5,dropout_median,10,0.207
10,50,3,0,0,5,dropout_median,11,0.21
10,50,3,0,0,5,dropout_median,12,0.2
10,50,3,0,0,5,dropout_median,13,0.206
10,50,3,0,0,5,dropout_median,14,0.209
10,50,3,0,0,5,dropout_median,15,0.2
10,50,3,0,0,5,dropout_median,16,0.208
10,50,3,0,0,5,dropout_median,17,0.201
10,50,3,0,0,5,dropout_median,18,0.211
10,50,3,0,0,5,dropout_median,19,0.217
10,50,3,0,0,5,dropout_median,20,0.189
10,50,3,0,0,5,dropout_median,21,0.147
10,50,3,0,0,5,dropout_median,22,0.164
10,50,3,0,0,5,dropout_median,23,0.149
10,50,3,0,0,5,dropout_median,24,0.152
10,50,3,0,0,5,dropout_median,25,0.151
10,50,3,0,0,5,dropout_median,26,0.151
10,50,3,0,0,5,dropout_median,27,0.152
10,50,3,0,0,5,dropout_median,28,0.176
10,50,3,0,0,5,dropout_median,29,0.152
10,50,3,0,0,5,dropout_median,30,0.172
10,50,3,0,0,5,dropout_median,31,0.176
10,50,3,0,0,5,dropout_median,32,0.164
10,50,3,0,0,5,dropout_median,33,0.132
10,50,3,0,0,5,dropout_median,34,0.115
10,50,3,0,0,5,dropout_median,35,0.119
10,50,3,0,0,5,dropout_median,36,0.11
10,50,3,0,0,5,dropout_median,37,0.105
10,50,3,0,0,5,dropout_median,38,0.105
10,50,3,0,0,5,dropout_median,39,0.105
10,50,3,0,0,5,dropout_median,40,0.1
10,50,3,0,0,5,dropout_median,41,0.105
10,50,3,0,0,5,dropout_median,42,0.091
10,50,3,0,0,5,dropout_median,43,0.1
10,50,3,0,0,5,dropout_median,44,0.086
10,50,3,0,0,5,dropout_median,45,0.107
10,50,3,0,0,5,dropout_median,46,0.1
10,50,3,0,0,5,dropout_median,47,0.1
10,50,3,0,0,5,dropout_median,48,0.114
10,50,3,0,0,5,dropout_median,49,0.086
10,50,3,0,0,5,dropout_median,50,0.115
