Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,mean,1,0.078
10,50,3,0,0,5,mean,2,0.114
10,50,3,0,0,5,mean,3,0.093
10,50,3,0,0,5,mean,4,0.143
10,50,3,0,0,5,mean,5,0.176
10,50,3,0,0,5,mean,6,0.199
10,50,3,0,0,5,mean,7,0.247
10,50,3,0,0,5,mean,8,0.263
10,50,3,0,0,5,mean,9,0.25
10,50,3,0,0,5,mean,10,0.271
10,50,3,0,0,5,mean,11,0.275
10,50,3,0,0,5,mean,12,0.228
10,50,3,0,0,5,mean,13,0.205
10,50,3,0,0,5,mean,14,0.266
10,50,3,0,0,5,mean,15,0.2
10,50,3,0,0,5,mean,16,0.254
10,50,3,0,0,5,mean,17,0.246
10,50,3,0,0,5,mean,18,0.275
10,50,3,0,0,5,mean,19,0.288
10,50,3,0,0,5,mean,20,0.263
10,50,3,0,0,5,mean,21,0.26
10,50,3,0,0,5,mean,22,0.253
10,50,3,0,0,5,mean,23,0.24
10,50,3,0,0,5,mean,24,0.247
10,50,3,0,0,5,mean,25,0.257
10,50,3,0,0,5,mean,26,0.255
10,50,3,0,0,5,mean,27,0.244
10,50,3,0,0,5,mean,28,0.273
10,50,3,0,0,5,mean,29,0.206
10,50,3,0,0,5,mean,30,0.229
10,50,3,0,0,5,mean,31,0.194
10,50,3,0,0,5,mean,32,0.231
10,50,3,0,0,5,mean,33,0.214
10,50,3,0,0,5,mean,34,0.24
10,50,3,0,0,5,mean,35,0.229
10,50,3,0,0,5,mean,36,0.209
10,50,3,0,0,5,mean,37,0.231
10,50,3,0,0,5,mean,38,0.244
10,50,3,0,0,5,mean,39,0.229
10,50,3,0,0,5,mean,40,0.19
10,50,3,0,0,5,mean,41,0.205
10,50,3,0,0,5,mean,42,0.227
10,50,3,0,0,5,mean,43,0.241
10,50,3,0,0,5,mean,44,0.216
10,50,3,0,0,5,mean,45,0.235
10,50,3,0,0,5,mean,46,0.278
10,50,3,0,0,5,mean,47,0.236
10,50,3,0,0,5,mean,48,0.233
10,50,3,0,0,5,mean,49,0.188
10,50,3,0,0,5,mean,50,0.231
