Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.108
10,40,3,0,0,5,mean,2,0.092
10,40,3,0,0,5,mean,3,0.27
10,40,3,0,0,5,mean,4,0.242
10,40,3,0,0,5,mean,5,0.284
10,40,3,0,0,5,mean,6,0.296
10,40,3,0,0,5,mean,7,0.289
10,40,3,0,0,5,mean,8,0.296
10,40,3,0,0,5,mean,9,0.31
10,40,3,0,0,5,mean,10,0.308
10,40,3,0,0,5,mean,11,0.277
10,40,3,0,0,5,mean,12,0.335
10,40,3,0,0,5,mean,13,0.332
10,40,3,0,0,5,mean,14,0.335
10,40,3,0,0,5,mean,15,0.278
10,40,3,0,0,5,mean,16,0.318
10,40,3,0,0,5,mean,17,0.278
10,40,3,0,0,5,mean,18,0.31
10,40,3,0,0,5,mean,19,0.294
10,40,3,0,0,5,mean,20,0.272
10,40,3,0,0,5,mean,21,0.284
10,40,3,0,0,5,mean,22,0.277
10,40,3,0,0,5,mean,23,0.287
10,40,3,0,0,5,mean,24,0.32
10,40,3,0,0,5,mean,25,0.275
10,40,3,0,0,5,mean,26,0.29
10,40,3,0,0,5,mean,27,0.328
10,40,3,0,0,5,mean,28,0.331
10,40,3,0,0,5,mean,29,0.292
10,40,3,0,0,5,mean,30,0.313
10,40,3,0,0,5,mean,31,0.308
10,40,3,0,0,5,mean,32,0.313
10,40,3,0,0,5,mean,33,0.295
10,40,3,0,0,5,mean,34,0.328
10,40,3,0,0,5,mean,35,0.267
10,40,3,0,0,5,mean,36,0.318
10,40,3,0,0,5,mean,37,0.314
10,40,3,0,0,5,mean,38,0.294
10,40,3,0,0,5,mean,39,0.321
10,40,3,0,0,5,mean,40,0.326
