Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.108
10,40,3,0,0,5,mean,2,0.103
10,40,3,0,0,5,mean,3,0.14
10,40,3,0,0,5,mean,4,0.203
10,40,3,0,0,5,mean,5,0.218
10,40,3,0,0,5,mean,6,0.278
10,40,3,0,0,5,mean,7,0.308
10,40,3,0,0,5,mean,8,0.356
10,40,3,0,0,5,mean,9,0.365
10,40,3,0,0,5,mean,10,0.307
10,40,3,0,0,5,mean,11,0.329
10,40,3,0,0,5,mean,12,0.36
10,40,3,0,0,5,mean,13,0.33
10,40,3,0,0,5,mean,14,0.299
10,40,3,0,0,5,mean,15,0.342
10,40,3,0,0,5,mean,16,0.383
10,40,3,0,0,5,mean,17,0.354
10,40,3,0,0,5,mean,18,0.349
10,40,3,0,0,5,mean,19,0.294
10,40,3,0,0,5,mean,20,0.29
10,40,3,0,0,5,mean,21,0.284
10,40,3,0,0,5,mean,22,0.301
10,40,3,0,0,5,mean,23,0.321
10,40,3,0,0,5,mean,24,0.301
10,40,3,0,0,5,mean,25,0.355
10,40,3,0,0,5,mean,26,0.282
10,40,3,0,0,5,mean,27,0.318
10,40,3,0,0,5,mean,28,0.315
10,40,3,0,0,5,mean,29,0.282
10,40,3,0,0,5,mean,30,0.291
10,40,3,0,0,5,mean,31,0.298
10,40,3,0,0,5,mean,32,0.345
10,40,3,0,0,5,mean,33,0.326
10,40,3,0,0,5,mean,34,0.313
10,40,3,0,0,5,mean,35,0.312
10,40,3,0,0,5,mean,36,0.306
10,40,3,0,0,5,mean,37,0.294
10,40,3,0,0,5,mean,38,0.291
10,40,3,0,0,5,mean,39,0.261
10,40,3,0,0,5,mean,40,0.319
