Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,mean,1,0.108
10,50,3,0,0,5,mean,2,0.109
10,50,3,0,0,5,mean,3,0.22
10,50,3,0,0,5,mean,4,0.195
10,50,3,0,0,5,mean,5,0.23
10,50,3,0,0,5,mean,6,0.324
10,50,3,0,0,5,mean,7,0.366
10,50,3,0,0,5,mean,8,0.354
10,50,3,0,0,5,mean,9,0.303
10,50,3,0,0,5,mean,10,0.313
10,50,3,0,0,5,mean,11,0.381
10,50,3,0,0,5,mean,12,0.373
10,50,3,0,0,5,mean,13,0.319
10,50,3,0,0,5,mean,14,0.308
10,50,3,0,0,5,mean,15,0.301
10,50,3,0,0,5,mean,16,0.37
10,50,3,0,0,5,mean,17,0.299
10,50,3,0,0,5,mean,18,0.362
10,50,3,0,0,5,mean,19,0.28
10,50,3,0,0,5,mean,20,0.32
10,50,3,0,0,5,mean,21,0.335
10,50,3,0,0,5,mean,22,0.386
10,50,3,0,0,5,mean,23,0.299
10,50,3,0,0,5,mean,24,0.396
10,50,3,0,0,5,mean,25,0.412
10,50,3,0,0,5,mean,26,0.386
10,50,3,0,0,5,mean,27,0.409
10,50,3,0,0,5,mean,28,0.405
10,50,3,0,0,5,mean,29,0.344
10,50,3,0,0,5,mean,30,0.362
10,50,3,0,0,5,mean,31,0.342
10,50,3,0,0,5,mean,32,0.345
10,50,3,0,0,5,mean,33,0.364
10,50,3,0,0,5,mean,34,0.341
10,50,3,0,0,5,mean,35,0.281
10,50,3,0,0,5,mean,36,0.291
10,50,3,0,0,5,mean,37,0.338
10,50,3,0,0,5,mean,38,0.289
10,50,3,0,0,5,mean,39,0.356
10,50,3,0,0,5,mean,40,0.337
10,50,3,0,0,5,mean,41,0.345
10,50,3,0,0,5,mean,42,0.349
10,50,3,0,0,5,mean,43,0.301
10,50,3,0,0,5,mean,44,0.384
10,50,3,0,0,5,mean,45,0.362
10,50,3,0,0,5,mean,46,0.408
10,50,3,0,0,5,mean,47,0.388
10,50,3,0,0,5,mean,48,0.343
10,50,3,0,0,5,mean,49,0.386
10,50,3,0,0,5,mean,50,0.361
