Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.108
10,40,3,0,0,5,mean,2,0.122
10,40,3,0,0,5,mean,3,0.207
10,40,3,0,0,5,mean,4,0.21
10,40,3,0,0,5,mean,5,0.236
10,40,3,0,0,5,mean,6,0.253
10,40,3,0,0,5,mean,7,0.247
10,40,3,0,0,5,mean,8,0.211
10,40,3,0,0,5,mean,9,0.256
10,40,3,0,0,5,mean,10,0.274
10,40,3,0,0,5,mean,11,0.304
10,40,3,0,0,5,mean,12,0.277
10,40,3,0,0,5,mean,13,0.28
10,40,3,0,0,5,mean,14,0.303
10,40,3,0,0,5,mean,15,0.296
10,40,3,0,0,5,mean,16,0.308
10,40,3,0,0,5,mean,17,0.282
10,40,3,0,0,5,mean,18,0.313
10,40,3,0,0,5,mean,19,0.266
10,40,3,0,0,5,mean,20,0.343
10,40,3,0,0,5,mean,21,0.302
10,40,3,0,0,5,mean,22,0.307
10,40,3,0,0,5,mean,23,0.317
10,40,3,0,0,5,mean,24,0.291
10,40,3,0,0,5,mean,25,0.259
10,40,3,0,0,5,mean,26,0.299
10,40,3,0,0,5,mean,27,0.293
10,40,3,0,0,5,mean,28,0.302
10,40,3,0,0,5,mean,29,0.325
10,40,3,0,0,5,mean,30,0.304
10,40,3,0,0,5,mean,31,0.297
10,40,3,0,0,5,mean,32,0.288
10,40,3,0,0,5,mean,33,0.29
10,40,3,0,0,5,mean,34,0.314
10,40,3,0,0,5,mean,35,0.284
10,40,3,0,0,5,mean,36,0.304
10,40,3,0,0,5,mean,37,0.306
10,40,3,0,0,5,mean,38,0.324
10,40,3,0,0,5,mean,39,0.287
10,40,3,0,0,5,mean,40,0.322
