Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.108
10,40,3,0,0,5,mean,2,0.112
10,40,3,0,0,5,mean,3,0.174
10,40,3,0,0,5,mean,4,0.23
10,40,3,0,0,5,mean,5,0.211
10,40,3,0,0,5,mean,6,0.324
10,40,3,0,0,5,mean,7,0.314
10,40,3,0,0,5,mean,8,0.332
10,40,3,0,0,5,mean,9,0.254
10,40,3,0,0,5,mean,10,0.271
10,40,3,0,0,5,mean,11,0.288
10,40,3,0,0,5,mean,12,0.252
10,40,3,0,0,5,mean,13,0.283
10,40,3,0,0,5,mean,14,0.281
10,40,3,0,0,5,mean,15,0.284
10,40,3,0,0,5,mean,16,0.288
10,40,3,0,0,5,mean,17,0.26
10,40,3,0,0,5,mean,18,0.274
10,40,3,0,0,5,mean,19,0.293
10,40,3,0,0,5,mean,20,0.298
10,40,3,0,0,5,mean,21,0.272
10,40,3,0,0,5,mean,22,0.347
10,40,3,0,0,5,mean,23,0.336
10,40,3,0,0,5,mean,24,0.257
10,40,3,0,0,5,mean,25,0.313
10,40,3,0,0,5,mean,26,0.317
10,40,3,0,0,5,mean,27,0.285
10,40,3,0,0,5,mean,28,0.253
10,40,3,0,0,5,mean,29,0.307
10,40,3,0,0,5,mean,30,0.273
10,40,3,0,0,5,mean,31,0.257
10,40,3,0,0,5,mean,32,0.294
10,40,3,0,0,5,mean,33,0.286
10,40,3,0,0,5,mean,34,0.301
10,40,3,0,0,5,mean,35,0.315
10,40,3,0,0,5,mean,36,0.202
10,40,3,0,0,5,mean,37,0.271
10,40,3,0,0,5,mean,38,0.276
10,40,3,0,0,5,mean,39,0.271
10,40,3,0,0,5,mean,40,0.27
