Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,mean,1,0.109
10,40,3,0,0,5,mean,2,0.272
10,40,3,0,0,5,mean,3,0.307
10,40,3,0,0,5,mean,4,0.192
10,40,3,0,0,5,mean,5,0.112
10,40,3,0,0,5,mean,6,0.1
10,40,3,0,0,5,mean,7,0.099
10,40,3,0,0,5,mean,8,0.09
10,40,3,0,0,5,mean,9,0.087
10,40,3,0,0,5,mean,10,0.097
10,40,3,0,0,5,mean,11,0.086
10,40,3,0,0,5,mean,12,0.095
10,40,3,0,0,5,mean,13,0.114
10,40,3,0,0,5,mean,14,0.095
10,40,3,0,0,5,mean,15,0.096
10,40,3,0,0,5,mean,16,0.087
10,40,3,0,0,5,mean,17,0.096
10,40,3,0,0,5,mean,18,0.096
10,40,3,0,0,5,mean,19,0.096
10,40,3,0,0,5,mean,20,0.096
10,40,3,0,0,5,mean,21,0.096
10,40,3,0,0,5,mean,22,0.097
10,40,3,0,0,5,mean,23,0.097
10,40,3,0,0,5,mean,24,0.097
10,40,3,0,0,5,mean,25,0.097
10,40,3,0,0,5,mean,26,0.121
10,40,3,0,0,5,mean,27,0.121
10,40,3,0,0,5,mean,28,0.121
10,40,3,0,0,5,mean,29,0.121
10,40,3,0,0,5,mean,30,0.121
10,40,3,0,0,5,mean,31,0.121
10,40,3,0,0,5,mean,32,0.121
10,40,3,0,0,5,mean,33,0.121
10,40,3,0,0,5,mean,34,0.121
10,40,3,0,0,5,mean,35,0.121
10,40,3,0,0,5,mean,36,0.121
10,40,3,0,0,5,mean,37,0.121
10,40,3,0,0,5,mean,38,0.121
10,40,3,0,0,5,mean,39,0.121
10,40,3,0,0,5,mean,40,0.121
