Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,median,1,0.09587123862841147
7,40,3,0,0,5,median,2,0.16864940517844645
7,40,3,0,0,5,median,3,0.20573827851644508
7,40,3,0,0,5,median,4,0.16934919524142758
7,40,3,0,0,5,median,5,0.21413575927221834
7,40,3,0,0,5,median,6,0.13435969209237228
7,40,3,0,0,5,median,7,0.21973407977606718
7,40,3,0,0,5,median,8,0.20433869839048285
7,40,3,0,0,5,median,9,0.22813156053184044
7,40,3,0,0,5,median,10,0.2491252624212736
7,40,3,0,0,5,median,11,0.22043386983904828
7,40,3,0,0,5,median,12,0.20713785864240727
7,40,3,0,0,5,median,13,0.21413575927221834
7,40,3,0,0,5,median,14,0.23372988103568929
7,40,3,0,0,5,median,15,0.26452064380685797
7,40,3,0,0,5,median,16,0.23163051084674596
7,40,3,0,0,5,median,17,0.20153953813855843
7,40,3,0,0,5,median,18,0.19314205738278517
7,40,3,0,0,5,median,19,0.2232330300909727
7,40,3,0,0,5,median,20,0.2330300909727082
7,40,3,0,0,5,median,21,0.21623512946116166
7,40,3,0,0,5,median,22,0.22043386983904828
7,40,3,0,0,5,median,23,0.22043386983904828
7,40,3,0,0,5,median,24,0.20433869839048285
7,40,3,0,0,5,median,25,0.21483554933519944
7,40,3,0,0,5,median,26,0.2323303009097271
7,40,3,0,0,5,median,27,0.1994401679496151
7,40,3,0,0,5,median,28,0.22113365990202938
7,40,3,0,0,5,median,29,0.19244226731980407
7,40,3,0,0,5,median,30,0.23163051084674596
7,40,3,0,0,5,median,31,0.21973407977606718
7,40,3,0,0,5,median,32,0.20363890832750176
7,40,3,0,0,5,median,33,0.21413575927221834
7,40,3,0,0,5,median,34,0.1868439468159552
7,40,3,0,0,5,median,35,0.24142757172848145
7,40,3,0,0,5,median,36,0.22603219034289712
7,40,3,0,0,5,median,37,0.21833449965010496
7,40,3,0,0,5,median,38,0.2365290412876137
7,40,3,0,0,5,median,39,0.2232330300909727
7,40,3,0,0,5,median,40,0.2218334499650105
