Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,median,1,0.09587123862841147
7,40,3,0,0,5,median,2,0.24212736179146255
7,40,3,0,0,5,median,3,0.2547235829251225
7,40,3,0,0,5,median,4,0.2631210636808957
7,40,3,0,0,5,median,5,0.2596221133659902
7,40,3,0,0,5,median,6,0.2463261021693492
7,40,3,0,0,5,median,7,0.2554233729881036
7,40,3,0,0,5,median,8,0.23932820153953813
7,40,3,0,0,5,median,9,0.23862841147655703
7,40,3,0,0,5,median,10,0.21133659902029392
7,40,3,0,0,5,median,11,0.24212736179146255
7,40,3,0,0,5,median,12,0.21763470958712386
7,40,3,0,0,5,median,13,0.23932820153953813
7,40,3,0,0,5,median,14,0.24212736179146255
7,40,3,0,0,5,median,15,0.2106368089573128
7,40,3,0,0,5,median,16,0.20573827851644508
7,40,3,0,0,5,median,17,0.20643806857942618
7,40,3,0,0,5,median,18,0.21413575927221834
7,40,3,0,0,5,median,19,0.21203638908327502
7,40,3,0,0,5,median,20,0.2099370188943317
7,40,3,0,0,5,median,21,0.2099370188943317
7,40,3,0,0,5,median,22,0.2001399580125962
7,40,3,0,0,5,median,23,0.19034289713086075
7,40,3,0,0,5,median,24,0.1861441567529741
7,40,3,0,0,5,median,25,0.17634709587123862
7,40,3,0,0,5,median,26,0.19314205738278517
7,40,3,0,0,5,median,27,0.1819454163750875
7,40,3,0,0,5,median,28,0.20783764870538837
7,40,3,0,0,5,median,29,0.20433869839048285
7,40,3,0,0,5,median,30,0.20503848845346395
7,40,3,0,0,5,median,31,0.1847445766270119
7,40,3,0,0,5,median,32,0.2085374387683695
7,40,3,0,0,5,median,33,0.20083974807557733
7,40,3,0,0,5,median,34,0.20713785864240727
7,40,3,0,0,5,median,35,0.2085374387683695
7,40,3,0,0,5,median,36,0.1952414275717285
7,40,3,0,0,5,median,37,0.2106368089573128
7,40,3,0,0,5,median,38,0.2092372288313506
7,40,3,0,0,5,median,39,0.20083974807557733
7,40,3,0,0,5,median,40,0.20433869839048285
