Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,70,3,0,0,5,median,1,0.103
10,70,3,0,0,5,median,2,0.208
10,70,3,0,0,5,median,3,0.291
10,70,3,0,0,5,median,4,0.34
10,70,3,0,0,5,median,5,0.357
10,70,3,0,0,5,median,6,0.355
10,70,3,0,0,5,median,7,0.376
10,70,3,0,0,5,median,8,0.378
10,70,3,0,0,5,median,9,0.399
10,70,3,0,0,5,median,10,0.383
10,70,3,0,0,5,median,11,0.388
10,70,3,0,0,5,median,12,0.4
10,70,3,0,0,5,median,13,0.388
10,70,3,0,0,5,median,14,0.389
10,70,3,0,0,5,median,15,0.387
10,70,3,0,0,5,median,16,0.384
10,70,3,0,0,5,median,17,0.405
10,70,3,0,0,5,median,18,0.395
10,70,3,0,0,5,median,19,0.38
10,70,3,0,0,5,median,20,0.401
10,70,3,0,0,5,median,21,0.403
10,70,3,0,0,5,median,22,0.406
10,70,3,0,0,5,median,23,0.391
10,70,3,0,0,5,median,24,0.407
10,70,3,0,0,5,median,25,0.398
10,70,3,0,0,5,median,26,0.415
10,70,3,0,0,5,median,27,0.398
10,70,3,0,0,5,median,28,0.389
10,70,3,0,0,5,median,29,0.419
10,70,3,0,0,5,median,30,0.417
10,70,3,0,0,5,median,31,0.417
10,70,3,0,0,5,median,32,0.404
10,70,3,0,0,5,median,33,0.43
10,70,3,0,0,5,median,34,0.421
10,70,3,0,0,5,median,35,0.408
10,70,3,0,0,5,median,36,0.411
10,70,3,0,0,5,median,37,0.424
10,70,3,0,0,5,median,38,0.409
10,70,3,0,0,5,median,39,0.41
10,70,3,0,0,5,median,40,0.398
10,70,3,0,0,5,median,41,0.41
10,70,3,0,0,5,median,42,0.417
10,70,3,0,0,5,median,43,0.416
10,70,3,0,0,5,median,44,0.418
10,70,3,0,0,5,median,45,0.411
10,70,3,0,0,5,median,46,0.41
10,70,3,0,0,5,median,47,0.424
10,70,3,0,0,5,median,48,0.405
10,70,3,0,0,5,median,49,0.399
10,70,3,0,0,5,median,50,0.417
10,70,3,0,0,5,median,51,0.411
10,70,3,0,0,5,median,52,0.413
10,70,3,0,0,5,median,53,0.412
10,70,3,0,0,5,median,54,0.419
10,70,3,0,0,5,median,55,0.408
10,70,3,0,0,5,median,56,0.413
10,70,3,0,0,5,median,57,0.41
10,70,3,0,0,5,median,58,0.429
10,70,3,0,0,5,median,59,0.416
10,70,3,0,0,5,median,60,0.415
10,70,3,0,0,5,median,61,0.412
10,70,3,0,0,5,median,62,0.417
10,70,3,0,0,5,median,63,0.417
10,70,3,0,0,5,median,64,0.407
10,70,3,0,0,5,median,65,0.402
10,70,3,0,0,5,median,66,0.396
10,70,3,0,0,5,median,67,0.413
10,70,3,0,0,5,median,68,0.415
10,70,3,0,0,5,median,69,0.432
10,70,3,0,0,5,median,70,0.413
10,70,3,1,0,5,median,1,0.078
10,70,3,1,0,5,median,2,0.121
10,70,3,1,0,5,median,3,0.204
10,70,3,1,0,5,median,4,0.293
10,70,3,1,0,5,median,5,0.339
10,70,3,1,0,5,median,6,0.338
10,70,3,1,0,5,median,7,0.332
10,70,3,1,0,5,median,8,0.344
10,70,3,1,0,5,median,9,0.331
10,70,3,1,0,5,median,10,0.337
10,70,3,1,0,5,median,11,0.32
10,70,3,1,0,5,median,12,0.336
10,70,3,1,0,5,median,13,0.35
10,70,3,1,0,5,median,14,0.349
10,70,3,1,0,5,median,15,0.337
10,70,3,1,0,5,median,16,0.339
10,70,3,1,0,5,median,17,0.328
10,70,3,1,0,5,median,18,0.325
10,70,3,1,0,5,median,19,0.348
10,70,3,1,0,5,median,20,0.35
10,70,3,1,0,5,median,21,0.342
10,70,3,1,0,5,median,22,0.349
10,70,3,1,0,5,median,23,0.334
10,70,3,1,0,5,median,24,0.348
10,70,3,1,0,5,median,25,0.346
10,70,3,1,0,5,median,26,0.329
10,70,3,1,0,5,median,27,0.355
10,70,3,1,0,5,median,28,0.343
10,70,3,1,0,5,median,29,0.331
10,70,3,1,0,5,median,30,0.33
10,70,3,1,0,5,median,31,0.34
10,70,3,1,0,5,median,32,0.329
10,70,3,1,0,5,median,33,0.355
10,70,3,1,0,5,median,34,0.356
10,70,3,1,0,5,median,35,0.352
10,70,3,1,0,5,median,36,0.352
10,70,3,1,0,5,median,37,0.352
10,70,3,1,0,5,median,38,0.333
10,70,3,1,0,5,median,39,0.351
10,70,3,1,0,5,median,40,0.358
10,70,3,1,0,5,median,41,0.337
10,70,3,1,0,5,median,42,0.342
10,70,3,1,0,5,median,43,0.361
10,70,3,1,0,5,median,44,0.338
10,70,3,1,0,5,median,45,0.361
10,70,3,1,0,5,median,46,0.371
10,70,3,1,0,5,median,47,0.35
10,70,3,1,0,5,median,48,0.34
10,70,3,1,0,5,median,49,0.339
10,70,3,1,0,5,median,50,0.358
10,70,3,1,0,5,median,51,0.345
10,70,3,1,0,5,median,52,0.361
10,70,3,1,0,5,median,53,0.352
10,70,3,1,0,5,median,54,0.355
10,70,3,1,0,5,median,55,0.338
10,70,3,1,0,5,median,56,0.34
10,70,3,1,0,5,median,57,0.359
10,70,3,1,0,5,median,58,0.334
10,70,3,1,0,5,median,59,0.341
10,70,3,1,0,5,median,60,0.34
10,70,3,1,0,5,median,61,0.322
10,70,3,1,0,5,median,62,0.345
10,70,3,1,0,5,median,63,0.336
10,70,3,1,0,5,median,64,0.324
10,70,3,1,0,5,median,65,0.345
10,70,3,1,0,5,median,66,0.311
10,70,3,1,0,5,median,67,0.339
10,70,3,1,0,5,median,68,0.329
10,70,3,1,0,5,median,69,0.338
10,70,3,1,0,5,median,70,0.348
10,70,3,2,0,5,median,1,0.078
10,70,3,2,0,5,median,2,0.114
10,70,3,2,0,5,median,3,0.1
10,70,3,2,0,5,median,4,0.087
10,70,3,2,0,5,median,5,0.114
10,70,3,2,0,5,median,6,0.114
10,70,3,2,0,5,median,7,0.109
10,70,3,2,0,5,median,8,0.087
10,70,3,2,0,5,median,9,0.109
10,70,3,2,0,5,median,10,0.109
10,70,3,2,0,5,median,11,0.109
10,70,3,2,0,5,median,12,0.109
10,70,3,2,0,5,median,13,0.109
10,70,3,2,0,5,median,14,0.093
10,70,3,2,0,5,median,15,0.109
10,70,3,2,0,5,median,16,0.1
10,70,3,2,0,5,median,17,0.109
10,70,3,2,0,5,median,18,0.078
10,70,3,2,0,5,median,19,0.109
10,70,3,2,0,5,median,20,0.087
10,70,3,2,0,5,median,21,0.109
