Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,50,3,6,0,1000,median,1,0.10776766969909027
7,50,3,6,0,1000,median,2,0.09447165850244926
7,50,3,6,0,1000,median,3,0.10776766969909027
7,50,3,6,0,1000,median,4,0.1000699790062981
7,50,3,6,0,1000,median,5,0.10356892932120364
7,50,3,6,0,1000,median,6,0.10286913925822254
7,50,3,6,0,1000,median,7,0.10916724982505248
7,50,3,6,0,1000,median,8,0.10916724982505248
7,50,3,6,0,1000,median,9,0.1000699790062981
7,50,3,6,0,1000,median,10,0.09167249825052484
7,50,3,6,0,1000,median,11,0.10356892932120364
7,50,3,6,0,1000,median,12,0.10776766969909027
7,50,3,6,0,1000,median,13,0.0986703988803359
7,50,3,6,0,1000,median,14,0.09587123862841147
7,50,3,6,0,1000,median,15,0.09587123862841147
7,50,3,6,0,1000,median,16,0.10286913925822254
7,50,3,6,0,1000,median,17,0.10356892932120364
7,50,3,6,0,1000,median,18,0.10776766969909027
7,50,3,6,0,1000,median,19,0.0986703988803359
7,50,3,6,0,1000,median,20,0.10776766969909027
7,50,3,6,0,1000,median,21,0.10916724982505248
7,50,3,6,0,1000,median,22,0.09587123862841147
7,50,3,6,0,1000,median,23,0.10916724982505248
7,50,3,6,0,1000,median,24,0.10286913925822254
7,50,3,6,0,1000,median,25,0.1000699790062981
7,50,3,6,0,1000,median,26,0.0986703988803359
7,50,3,6,0,1000,median,27,0.1000699790062981
7,50,3,6,0,1000,median,28,0.09447165850244926
7,50,3,6,0,1000,median,29,0.09587123862841147
7,50,3,6,0,1000,median,30,0.0986703988803359
7,50,3,6,0,1000,median,31,0.10776766969909027
7,50,3,6,0,1000,median,32,0.09447165850244926
7,50,3,6,0,1000,median,33,0.10916724982505248
7,50,3,6,0,1000,median,34,0.09587123862841147
7,50,3,6,0,1000,median,35,0.0986703988803359
7,50,3,6,0,1000,median,36,0.09447165850244926
7,50,3,6,0,1000,median,37,0.0986703988803359
7,50,3,6,0,1000,median,38,0.10776766969909027
7,50,3,6,0,1000,median,39,0.09587123862841147
7,50,3,6,0,1000,median,40,0.09587123862841147
7,50,3,6,0,1000,median,41,0.09587123862841147
7,50,3,6,0,1000,median,42,0.1000699790062981
7,50,3,6,0,1000,median,43,0.09447165850244926
7,50,3,6,0,1000,median,44,0.10776766969909027
7,50,3,6,0,1000,median,45,0.1000699790062981
7,50,3,6,0,1000,median,46,0.10776766969909027
7,50,3,6,0,1000,median,47,0.09587123862841147
7,50,3,6,0,1000,median,48,0.10916724982505248
7,50,3,6,0,1000,median,49,0.10286913925822254
7,50,3,6,0,1000,median,50,0.10916724982505248
