Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,50,3,0,3,1000,median,1,0.10916724982505248
7,50,3,0,3,1000,median,2,0.22743177046885935
7,50,3,0,3,1000,median,3,0.26522043386983907
7,50,3,0,3,1000,median,4,0.30510846745976206
7,50,3,0,3,1000,median,5,0.28831350594821553
7,50,3,0,3,1000,median,6,0.311406578026592
7,50,3,0,3,1000,median,7,0.28901329601119663
7,50,3,0,3,1000,median,8,0.27641707487753675
7,50,3,0,3,1000,median,9,0.26522043386983907
7,50,3,0,3,1000,median,10,0.2554233729881036
7,50,3,0,3,1000,median,11,0.258222533240028
7,50,3,0,3,1000,median,12,0.17074877536738978
7,50,3,0,3,1000,median,13,0.21973407977606718
7,50,3,0,3,1000,median,14,0.2610216934919524
7,50,3,0,3,1000,median,15,0.23932820153953813
7,50,3,0,3,1000,median,16,0.23163051084674596
7,50,3,0,3,1000,median,17,0.22953114065780267
7,50,3,0,3,1000,median,18,0.23372988103568929
7,50,3,0,3,1000,median,19,0.1861441567529741
7,50,3,0,3,1000,median,20,0.1980405878236529
7,50,3,0,3,1000,median,21,0.20153953813855843
7,50,3,0,3,1000,median,22,0.22953114065780267
7,50,3,0,3,1000,median,23,0.10846745976207138
7,50,3,0,3,1000,median,24,0.10916724982505248
7,50,3,0,3,1000,median,25,0.10916724982505248
7,50,3,0,3,1000,median,26,0.0986703988803359
7,50,3,0,3,1000,median,27,0.09587123862841147
7,50,3,0,3,1000,median,28,0.1000699790062981
7,50,3,0,3,1000,median,29,0.0986703988803359
7,50,3,0,3,1000,median,30,0.09587123862841147
7,50,3,0,3,1000,median,31,0.09587123862841147
7,50,3,0,3,1000,median,32,0.10776766969909027
7,50,3,0,3,1000,median,33,0.1000699790062981
7,50,3,0,3,1000,median,34,0.09167249825052484
7,50,3,0,3,1000,median,35,0.1000699790062981
7,50,3,0,3,1000,median,36,0.10916724982505248
7,50,3,0,3,1000,median,37,0.0986703988803359
7,50,3,0,3,1000,median,38,0.09447165850244926
7,50,3,0,3,1000,median,39,0.09587123862841147
7,50,3,0,3,1000,median,40,0.09587123862841147
7,50,3,0,3,1000,median,41,0.10776766969909027
7,50,3,0,3,1000,median,42,0.10776766969909027
7,50,3,0,3,1000,median,43,0.1000699790062981
7,50,3,0,3,1000,median,44,0.10916724982505248
7,50,3,0,3,1000,median,45,0.10776766969909027
7,50,3,0,3,1000,median,46,0.09587123862841147
7,50,3,0,3,1000,median,47,0.1000699790062981
7,50,3,0,3,1000,median,48,0.0986703988803359
7,50,3,0,3,1000,median,49,0.0986703988803359
7,50,3,0,3,1000,median,50,0.10356892932120364
