Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,median,1,0.0885
5,40,3,0,0,5,median,2,0.0895
5,40,3,0,0,5,median,3,0.1535
5,40,3,0,0,5,median,4,0.2485
5,40,3,0,0,5,median,5,0.2085
5,40,3,0,0,5,median,6,0.2665
5,40,3,0,0,5,median,7,0.2505
5,40,3,0,0,5,median,8,0.259
5,40,3,0,0,5,median,9,0.2915
5,40,3,0,0,5,median,10,0.2165
5,40,3,0,0,5,median,11,0.2575
5,40,3,0,0,5,median,12,0.256
5,40,3,0,0,5,median,13,0.2665
5,40,3,0,0,5,median,14,0.2905
5,40,3,0,0,5,median,15,0.2665
5,40,3,0,0,5,median,16,0.247
5,40,3,0,0,5,median,17,0.259
5,40,3,0,0,5,median,18,0.271
5,40,3,0,0,5,median,19,0.2805
5,40,3,0,0,5,median,20,0.2725
5,40,3,0,0,5,median,21,0.287
5,40,3,0,0,5,median,22,0.232
5,40,3,0,0,5,median,23,0.2585
5,40,3,0,0,5,median,24,0.2575
5,40,3,0,0,5,median,25,0.2545
5,40,3,0,0,5,median,26,0.2425
5,40,3,0,0,5,median,27,0.252
5,40,3,0,0,5,median,28,0.258
5,40,3,0,0,5,median,29,0.271
5,40,3,0,0,5,median,30,0.2675
5,40,3,0,0,5,median,31,0.26
5,40,3,0,0,5,median,32,0.249
5,40,3,0,0,5,median,33,0.282
5,40,3,0,0,5,median,34,0.249
5,40,3,0,0,5,median,35,0.27
5,40,3,0,0,5,median,36,0.2415
5,40,3,0,0,5,median,37,0.2635
5,40,3,0,0,5,median,38,0.208
5,40,3,0,0,5,median,39,0.2615
5,40,3,0,0,5,median,40,0.233
