Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,median,1,0.1015
5,40,3,0,0,5,median,2,0.1655
5,40,3,0,0,5,median,3,0.191
5,40,3,0,0,5,median,4,0.189
5,40,3,0,0,5,median,5,0.2615
5,40,3,0,0,5,median,6,0.2005
5,40,3,0,0,5,median,7,0.259
5,40,3,0,0,5,median,8,0.25
5,40,3,0,0,5,median,9,0.255
5,40,3,0,0,5,median,10,0.2665
5,40,3,0,0,5,median,11,0.245
5,40,3,0,0,5,median,12,0.262
5,40,3,0,0,5,median,13,0.2135
5,40,3,0,0,5,median,14,0.212
5,40,3,0,0,5,median,15,0.259
5,40,3,0,0,5,median,16,0.2275
5,40,3,0,0,5,median,17,0.2415
5,40,3,0,0,5,median,18,0.2335
5,40,3,0,0,5,median,19,0.2515
5,40,3,0,0,5,median,20,0.275
5,40,3,0,0,5,median,21,0.2755
5,40,3,0,0,5,median,22,0.244
5,40,3,0,0,5,median,23,0.2745
5,40,3,0,0,5,median,24,0.265
5,40,3,0,0,5,median,25,0.2205
5,40,3,0,0,5,median,26,0.2915
5,40,3,0,0,5,median,27,0.215
5,40,3,0,0,5,median,28,0.202
5,40,3,0,0,5,median,29,0.2615
5,40,3,0,0,5,median,30,0.258
5,40,3,0,0,5,median,31,0.2405
5,40,3,0,0,5,median,32,0.244
5,40,3,0,0,5,median,33,0.243
5,40,3,0,0,5,median,34,0.21
5,40,3,0,0,5,median,35,0.26
5,40,3,0,0,5,median,36,0.2575
5,40,3,0,0,5,median,37,0.228
5,40,3,0,0,5,median,38,0.2865
5,40,3,0,0,5,median,39,0.268
5,40,3,0,0,5,median,40,0.2835
