Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,median,1,0.0885
5,40,3,0,0,5,median,2,0.207
5,40,3,0,0,5,median,3,0.2875
5,40,3,0,0,5,median,4,0.283
5,40,3,0,0,5,median,5,0.3065
5,40,3,0,0,5,median,6,0.2905
5,40,3,0,0,5,median,7,0.3
5,40,3,0,0,5,median,8,0.3015
5,40,3,0,0,5,median,9,0.29
5,40,3,0,0,5,median,10,0.287
5,40,3,0,0,5,median,11,0.241
5,40,3,0,0,5,median,12,0.296
5,40,3,0,0,5,median,13,0.265
5,40,3,0,0,5,median,14,0.267
5,40,3,0,0,5,median,15,0.262
5,40,3,0,0,5,median,16,0.2455
5,40,3,0,0,5,median,17,0.2625
5,40,3,0,0,5,median,18,0.2755
5,40,3,0,0,5,median,19,0.2405
5,40,3,0,0,5,median,20,0.2605
5,40,3,0,0,5,median,21,0.2595
5,40,3,0,0,5,median,22,0.2725
5,40,3,0,0,5,median,23,0.2215
5,40,3,0,0,5,median,24,0.1995
5,40,3,0,0,5,median,25,0.243
5,40,3,0,0,5,median,26,0.196
5,40,3,0,0,5,median,27,0.2165
5,40,3,0,0,5,median,28,0.2005
5,40,3,0,0,5,median,29,0.194
5,40,3,0,0,5,median,30,0.2025
5,40,3,0,0,5,median,31,0.222
5,40,3,0,0,5,median,32,0.2005
5,40,3,0,0,5,median,33,0.195
5,40,3,0,0,5,median,34,0.2175
5,40,3,0,0,5,median,35,0.1015
5,40,3,0,0,5,median,36,0.1015
5,40,3,0,0,5,median,37,0.0955
5,40,3,0,0,5,median,38,0.0955
5,40,3,0,0,5,median,39,0.0955
5,40,3,0,0,5,median,40,0.1015
