Number of Rounds,Number of Epochs,Scale Factor,Round,Global Accuracy
50,4,1,1,0.0815
50,4,1,2,0.207
50,4,1,3,0.343
50,4,1,4,0.407
50,4,1,5,0.4305
50,4,1,6,0.445
50,4,1,7,0.458
50,4,1,8,0.4585
50,4,1,9,0.459
50,4,1,10,0.472
50,4,1,11,0.4595
50,4,1,12,0.47
50,4,1,13,0.459
50,4,1,14,0.4725
50,4,1,15,0.473
50,4,1,16,0.4235
50,4,1,17,0.471
50,4,1,18,0.474
50,4,1,19,0.477
50,4,1,20,0.4635
50,4,1,21,0.444
50,4,1,22,0.478
50,4,1,23,0.395
50,4,1,24,0.4315
50,4,1,25,0.446
50,4,1,26,0.4045
50,4,1,27,0.4125
50,4,1,28,0.45
50,4,1,29,0.4675
50,4,1,30,0.381
50,4,1,31,0.458
50,4,1,32,0.396
50,4,1,33,0.367
50,4,1,34,0.44
50,4,1,35,0.44
50,4,1,36,0.4165
50,4,1,37,0.4185
50,4,1,38,0.3965
50,4,1,39,0.3065
50,4,1,40,0.449
50,4,1,41,0.438
50,4,1,42,0.4455
50,4,1,43,0.414
50,4,1,44,0.421
50,4,1,45,0.407
50,4,1,46,0.459
50,4,1,47,0.421
50,4,1,48,0.4445
50,4,1,49,0.4305
50,4,1,50,0.419
50,4,2,1,0.089
50,4,2,2,0.263
50,4,2,3,0.344
50,4,2,4,0.3595
50,4,2,5,0.38
50,4,2,6,0.3875
50,4,2,7,0.391
50,4,2,8,0.3655
50,4,2,9,0.3605
50,4,2,10,0.3375
50,4,2,11,0.3525
50,4,2,12,0.3465
50,4,2,13,0.3055
50,4,2,14,0.287
50,4,2,15,0.3115
50,4,2,16,0.267
50,4,2,17,0.249
50,4,2,18,0.1855
50,4,2,19,0.1875
50,4,2,20,0.1065
50,4,2,21,0.095
50,4,2,22,0.095
50,4,2,23,0.099
50,4,2,24,0.0895
50,4,2,25,0.0955
50,4,2,26,0.1065
50,4,2,27,0.097
50,4,2,28,0.1015
50,4,2,29,0.1065
50,4,2,30,0.1015
50,4,2,31,0.116
50,4,2,32,0.1015
50,4,2,33,0.096
50,4,2,34,0.107
50,4,2,35,0.0995
50,4,2,36,0.102
50,4,2,37,0.102
50,4,2,38,0.107
50,4,2,39,0.1165
50,4,2,40,0.09
50,4,2,41,0.096
50,4,2,42,0.102
50,4,2,43,0.107
50,4,2,44,0.102
50,4,2,45,0.089
50,4,2,46,0.102
50,4,2,47,0.0975
50,4,2,48,0.096
50,4,2,49,0.102
50,4,2,50,0.096
50,4,3,1,0.1465
50,4,3,2,0.3495
50,4,3,3,0.384
50,4,3,4,0.378
50,4,3,5,0.3685
50,4,3,6,0.3415
50,4,3,7,0.331
50,4,3,8,0.2995
50,4,3,9,0.257
50,4,3,10,0.142
50,4,3,11,0.1445
50,4,3,12,0.146
50,4,3,13,0.134
50,4,3,14,0.1425
50,4,3,15,0.144
50,4,3,16,0.142
50,4,3,17,0.1325
50,4,3,18,0.1385
50,4,3,19,0.131
50,4,3,20,0.131
50,4,3,21,0.1165
50,4,3,22,0.128
50,4,3,23,0.128
50,4,3,24,0.1275
50,4,3,25,0.1275
50,4,3,26,0.127
50,4,3,27,0.116
50,4,3,28,0.102
50,4,3,29,0.133
50,4,3,30,0.126
50,4,3,31,0.131
50,4,3,32,0.133
50,4,3,33,0.126
50,4,3,34,0.116
50,4,3,35,0.116
50,4,3,36,0.131
50,4,3,37,0.126
50,4,3,38,0.126
50,4,3,39,0.126
50,4,3,40,0.11
50,4,3,41,0.1255
50,4,3,42,0.102
50,4,3,43,0.1325
50,4,3,44,0.1105
50,4,3,45,0.116
50,4,3,46,0.1015
50,4,3,47,0.1255
50,4,3,48,0.1325
50,4,3,49,0.1255
50,4,3,50,0.1105
50,4,4,1,0.1255
50,4,4,2,0.2975
50,4,4,3,0.306
50,4,4,4,0.277
50,4,4,5,0.284
50,4,4,6,0.2445
50,4,4,7,0.2025
50,4,4,8,0.102
50,4,4,9,0.0955
50,4,4,10,0.0955
50,4,4,11,0.1015
50,4,4,12,0.0975
50,4,4,13,0.1015
50,4,4,14,0.1065
50,4,4,15,0.1015
50,4,4,16,0.106
50,4,4,17,0.088
50,4,4,18,0.097
50,4,4,19,0.0885
50,4,4,20,0.0995
50,4,4,21,0.0875
50,4,4,22,0.0955
50,4,4,23,0.088
50,4,4,24,0.088
50,4,4,25,0.0965
50,4,4,26,0.0965
50,4,4,27,0.0965
50,4,4,28,0.0885
50,4,4,29,0.106
50,4,4,30,0.106
50,4,4,31,0.1015
50,4,4,32,0.1035
50,4,4,33,0.0885
50,4,4,34,0.0965
50,4,4,35,0.106
50,4,4,36,0.1035
50,4,4,37,0.115
50,4,4,38,0.0965
50,4,4,39,0.0965
50,4,4,40,0.0965
50,4,4,41,0.0965
50,4,4,42,0.1015
50,4,4,43,0.1015
50,4,4,44,0.1015
50,4,4,45,0.1015
50,4,4,46,0.1015
50,4,4,47,0.1015
50,4,4,48,0.1015
50,4,4,49,0.1015
50,4,4,50,0.1015
50,4,5,1,0.149
50,4,5,2,0.2885
50,4,5,3,0.2945
50,4,5,4,0.2015
50,4,5,5,0.2355
50,4,5,6,0.1015
50,4,5,7,0.0885
50,4,5,8,0.102
50,4,5,9,0.104
50,4,5,10,0.0965
50,4,5,11,0.09
50,4,5,12,0.0885
50,4,5,13,0.1035
50,4,5,14,0.0895
50,4,5,15,0.1
50,4,5,16,0.1
50,4,5,17,0.1015
50,4,5,18,0.1065
50,4,5,19,0.1015
50,4,5,20,0.1015
50,4,5,21,0.1065
50,4,5,22,0.0965
50,4,5,23,0.0965
50,4,5,24,0.0885
50,4,5,25,0.1035
50,4,5,26,0.0895
50,4,5,27,0.0885
50,4,5,28,0.0885
50,4,5,29,0.0885
50,4,5,30,0.0885
50,4,5,31,0.0885
50,4,5,32,0.0885
50,4,5,33,0.0885
50,4,5,34,0.1015
50,4,5,35,0.1015
50,4,5,36,0.1015
50,4,5,37,0.1015
50,4,5,38,0.1015
50,4,5,39,0.1015
50,4,5,40,0.1015
50,4,5,41,0.1015
50,4,5,42,0.1015
50,4,5,43,0.1015
50,4,5,44,0.1015
50,4,5,45,0.1015
50,4,5,46,0.1015
50,4,5,47,0.1015
50,4,5,48,0.1015
50,4,5,49,0.1015
50,4,5,50,0.1015
