Number of Rounds,Number of Epochs,Round,Global Accuracy
60,1,1,0.103
60,1,2,0.219
60,1,3,0.266
60,1,4,0.302
60,1,5,0.339
60,1,6,0.353
60,1,7,0.371
60,1,8,0.363
60,1,9,0.368
60,1,10,0.371
60,1,11,0.377
60,1,12,0.384
60,1,13,0.395
60,1,14,0.399
60,1,15,0.401
60,1,16,0.404
60,1,17,0.399
60,1,18,0.422
60,1,19,0.427
60,1,20,0.426
60,1,21,0.439
60,1,22,0.428
60,1,23,0.451
60,1,24,0.448
60,1,25,0.436
60,1,26,0.449
60,1,27,0.442
60,1,28,0.438
60,1,29,0.444
60,1,30,0.453
60,1,31,0.448
60,1,32,0.423
60,1,33,0.453
60,1,34,0.463
60,1,35,0.452
60,1,36,0.453
60,1,37,0.46
60,1,38,0.442
60,1,39,0.448
60,1,40,0.447
60,1,41,0.452
60,1,42,0.468
60,1,43,0.436
60,1,44,0.462
60,1,45,0.452
60,1,46,0.447
60,1,47,0.459
60,1,48,0.455
60,1,49,0.466
60,1,50,0.454
60,1,51,0.451
60,1,52,0.448
60,1,53,0.442
60,1,54,0.441
60,1,55,0.463
60,1,56,0.444
60,1,57,0.451
60,1,58,0.452
60,1,59,0.468
60,1,60,0.455
60,2,1,0.114
60,2,2,0.211
60,2,3,0.305
60,2,4,0.333
60,2,5,0.374
60,2,6,0.412
60,2,7,0.409
60,2,8,0.422
60,2,9,0.443
60,2,10,0.437
60,2,11,0.439
60,2,12,0.454
60,2,13,0.473
60,2,14,0.463
60,2,15,0.465
60,2,16,0.466
60,2,17,0.461
60,2,18,0.47
60,2,19,0.465
60,2,20,0.467
60,2,21,0.473
60,2,22,0.474
60,2,23,0.481
60,2,24,0.48
60,2,25,0.469
60,2,26,0.477
60,2,27,0.473
60,2,28,0.46
60,2,29,0.475
60,2,30,0.462
60,2,31,0.472
60,2,32,0.486
60,2,33,0.467
60,2,34,0.465
60,2,35,0.493
60,2,36,0.479
60,2,37,0.491
60,2,38,0.452
60,2,39,0.48
60,2,40,0.488
60,2,41,0.462
60,2,42,0.473
60,2,43,0.48
60,2,44,0.478
60,2,45,0.481
60,2,46,0.464
60,2,47,0.462
60,2,48,0.476
60,2,49,0.475
60,2,50,0.481
60,2,51,0.495
60,2,52,0.457
60,2,53,0.484
60,2,54,0.483
60,2,55,0.417
60,2,56,0.465
60,2,57,0.486
60,2,58,0.473
60,2,59,0.477
60,2,60,0.482
60,3,1,0.108
60,3,2,0.106
60,3,3,0.336
60,3,4,0.369
60,3,5,0.367
60,3,6,0.398
60,3,7,0.39
60,3,8,0.405
60,3,9,0.413
60,3,10,0.442
60,3,11,0.439
60,3,12,0.44
60,3,13,0.44
60,3,14,0.446
60,3,15,0.45
60,3,16,0.455
60,3,17,0.444
60,3,18,0.445
60,3,19,0.457
60,3,20,0.471
60,3,21,0.468
60,3,22,0.476
60,3,23,0.453
60,3,24,0.48
60,3,25,0.477
60,3,26,0.486
60,3,27,0.476
60,3,28,0.486
60,3,29,0.492
60,3,30,0.495
60,3,31,0.481
60,3,32,0.502
60,3,33,0.492
60,3,34,0.491
60,3,35,0.499
60,3,36,0.501
60,3,37,0.499
60,3,38,0.511
60,3,39,0.491
60,3,40,0.481
60,3,41,0.497
60,3,42,0.51
60,3,43,0.507
60,3,44,0.506
60,3,45,0.511
60,3,46,0.494
60,3,47,0.48
