Number of Rounds,Number of Epochs,Round,Average Loss,Global Accuracy
70,1,1,2.0512279748916624,0.098
70,1,2,1.9771879350662231,0.2355
70,1,3,1.914244933795929,0.232
70,1,4,1.8639653646469116,0.314
70,1,5,1.8155995369911195,0.333
70,1,6,1.793282620048523,0.3555
70,1,7,1.765023872566223,0.332
70,1,8,1.7299010618209838,0.392
70,1,9,1.6817918026924132,0.4075
70,1,10,1.6573118012428285,0.42
70,1,11,1.6582343198776244,0.4165
70,1,12,1.6398580891609194,0.4145
70,1,13,1.6280922176361083,0.4295
70,1,14,1.6179647923469545,0.4145
70,1,15,1.615722283744812,0.4415
70,1,16,1.6144813763618469,0.438
70,1,17,1.6046668305397034,0.4365
70,1,18,1.6013252357482912,0.4405
70,1,19,1.5927793853759766,0.444
70,1,20,1.6009891936779024,0.4445
70,1,21,1.5857666683197025,0.451
70,1,22,1.5801555438041688,0.451
70,1,23,1.5713852564811706,0.4595
70,1,24,1.5734935821533202,0.4525
70,1,25,1.5785278019905091,0.434
70,1,26,1.5744971716880798,0.4495
70,1,27,1.5736191566467286,0.458
70,1,28,1.5949106549263001,0.4395
70,1,29,1.5971198451042175,0.4445
70,1,30,1.575754098844528,0.4425
70,1,31,1.5760532033920285,0.4435
70,1,32,1.6122741291046143,0.4365
70,1,33,1.5915897958755494,0.4525
70,1,34,1.587907422399521,0.4455
70,1,35,1.5863374988555907,0.4265
70,1,36,1.5752036297798158,0.46
70,1,37,1.574714544391632,0.467
70,1,38,1.5766222275733948,0.4535
70,1,39,1.5921328983783725,0.451
70,1,40,1.5782124166488647,0.448
70,1,41,1.582755813932419,0.4665
70,1,42,1.5779664133071898,0.4685
70,1,43,1.5777299357891084,0.445
70,1,44,1.5824866312503816,0.4445
70,1,45,1.5950813721656798,0.4485
70,1,46,1.6137993287086487,0.454
70,1,47,1.5671124684333801,0.468
70,1,48,1.5751198891162872,0.4615
70,1,49,1.5811108255863189,0.454
70,1,50,1.5827208632946013,0.4555
