Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,softmax_mean,1,0.078
10,40,3,0,0,5,softmax_mean,2,0.114
10,40,3,0,0,5,softmax_mean,3,0.185
10,40,3,0,0,5,softmax_mean,4,0.176
10,40,3,0,0,5,softmax_mean,5,0.235
10,40,3,0,0,5,softmax_mean,6,0.235
10,40,3,0,0,5,softmax_mean,7,0.219
10,40,3,0,0,5,softmax_mean,8,0.192
10,40,3,0,0,5,softmax_mean,9,0.232
10,40,3,0,0,5,softmax_mean,10,0.291
10,40,3,0,0,5,softmax_mean,11,0.19
10,40,3,0,0,5,softmax_mean,12,0.202
10,40,3,0,0,5,softmax_mean,13,0.187
10,40,3,0,0,5,softmax_mean,14,0.162
10,40,3,0,0,5,softmax_mean,15,0.284
10,40,3,0,0,5,softmax_mean,16,0.278
10,40,3,0,0,5,softmax_mean,17,0.284
10,40,3,0,0,5,softmax_mean,18,0.261
10,40,3,0,0,5,softmax_mean,19,0.271
10,40,3,0,0,5,softmax_mean,20,0.224
10,40,3,0,0,5,softmax_mean,21,0.215
10,40,3,0,0,5,softmax_mean,22,0.219
10,40,3,0,0,5,softmax_mean,23,0.257
10,40,3,0,0,5,softmax_mean,24,0.243
10,40,3,0,0,5,softmax_mean,25,0.227
10,40,3,0,0,5,softmax_mean,26,0.277
10,40,3,0,0,5,softmax_mean,27,0.235
10,40,3,0,0,5,softmax_mean,28,0.311
10,40,3,0,0,5,softmax_mean,29,0.227
10,40,3,0,0,5,softmax_mean,30,0.238
10,40,3,0,0,5,softmax_mean,31,0.237
10,40,3,0,0,5,softmax_mean,32,0.248
10,40,3,0,0,5,softmax_mean,33,0.213
10,40,3,0,0,5,softmax_mean,34,0.214
10,40,3,0,0,5,softmax_mean,35,0.254
10,40,3,0,0,5,softmax_mean,36,0.165
10,40,3,0,0,5,softmax_mean,37,0.213
10,40,3,0,0,5,softmax_mean,38,0.196
10,40,3,0,0,5,softmax_mean,39,0.264
10,40,3,0,0,5,softmax_mean,40,0.228
