Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,softmax_mean,1,0.078
10,40,3,0,0,5,softmax_mean,2,0.144
10,40,3,0,0,5,softmax_mean,3,0.149
10,40,3,0,0,5,softmax_mean,4,0.111
10,40,3,0,0,5,softmax_mean,5,0.133
10,40,3,0,0,5,softmax_mean,6,0.257
10,40,3,0,0,5,softmax_mean,7,0.226
10,40,3,0,0,5,softmax_mean,8,0.251
10,40,3,0,0,5,softmax_mean,9,0.273
10,40,3,0,0,5,softmax_mean,10,0.282
10,40,3,0,0,5,softmax_mean,11,0.287
10,40,3,0,0,5,softmax_mean,12,0.283
10,40,3,0,0,5,softmax_mean,13,0.243
10,40,3,0,0,5,softmax_mean,14,0.228
10,40,3,0,0,5,softmax_mean,15,0.167
10,40,3,0,0,5,softmax_mean,16,0.281
10,40,3,0,0,5,softmax_mean,17,0.297
10,40,3,0,0,5,softmax_mean,18,0.325
10,40,3,0,0,5,softmax_mean,19,0.321
10,40,3,0,0,5,softmax_mean,20,0.279
10,40,3,0,0,5,softmax_mean,21,0.264
10,40,3,0,0,5,softmax_mean,22,0.224
10,40,3,0,0,5,softmax_mean,23,0.279
10,40,3,0,0,5,softmax_mean,24,0.237
10,40,3,0,0,5,softmax_mean,25,0.196
10,40,3,0,0,5,softmax_mean,26,0.235
10,40,3,0,0,5,softmax_mean,27,0.312
10,40,3,0,0,5,softmax_mean,28,0.319
10,40,3,0,0,5,softmax_mean,29,0.244
10,40,3,0,0,5,softmax_mean,30,0.223
10,40,3,0,0,5,softmax_mean,31,0.226
10,40,3,0,0,5,softmax_mean,32,0.21
10,40,3,0,0,5,softmax_mean,33,0.269
10,40,3,0,0,5,softmax_mean,34,0.211
10,40,3,0,0,5,softmax_mean,35,0.141
10,40,3,0,0,5,softmax_mean,36,0.206
10,40,3,0,0,5,softmax_mean,37,0.152
10,40,3,0,0,5,softmax_mean,38,0.196
10,40,3,0,0,5,softmax_mean,39,0.195
10,40,3,0,0,5,softmax_mean,40,0.219
