Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,softmax_mean,1,0.079
10,40,3,0,0,5,softmax_mean,2,0.191
10,40,3,0,0,5,softmax_mean,3,0.284
10,40,3,0,0,5,softmax_mean,4,0.341
10,40,3,0,0,5,softmax_mean,5,0.338
10,40,3,0,0,5,softmax_mean,6,0.341
10,40,3,0,0,5,softmax_mean,7,0.321
10,40,3,0,0,5,softmax_mean,8,0.314
10,40,3,0,0,5,softmax_mean,9,0.286
10,40,3,0,0,5,softmax_mean,10,0.281
10,40,3,0,0,5,softmax_mean,11,0.235
10,40,3,0,0,5,softmax_mean,12,0.187
10,40,3,0,0,5,softmax_mean,13,0.174
10,40,3,0,0,5,softmax_mean,14,0.176
10,40,3,0,0,5,softmax_mean,15,0.087
10,40,3,0,0,5,softmax_mean,16,0.111
10,40,3,0,0,5,softmax_mean,17,0.112
10,40,3,0,0,5,softmax_mean,18,0.113
10,40,3,0,0,5,softmax_mean,19,0.104
10,40,3,0,0,5,softmax_mean,20,0.113
10,40,3,0,0,5,softmax_mean,21,0.112
10,40,3,0,0,5,softmax_mean,22,0.114
10,40,3,0,0,5,softmax_mean,23,0.114
10,40,3,0,0,5,softmax_mean,24,0.114
10,40,3,0,0,5,softmax_mean,25,0.114
10,40,3,0,0,5,softmax_mean,26,0.115
10,40,3,0,0,5,softmax_mean,27,0.105
10,40,3,0,0,5,softmax_mean,28,0.114
10,40,3,0,0,5,softmax_mean,29,0.113
10,40,3,0,0,5,softmax_mean,30,0.104
10,40,3,0,0,5,softmax_mean,31,0.114
10,40,3,0,0,5,softmax_mean,32,0.103
10,40,3,0,0,5,softmax_mean,33,0.114
10,40,3,0,0,5,softmax_mean,34,0.114
10,40,3,0,0,5,softmax_mean,35,0.115
10,40,3,0,0,5,softmax_mean,36,0.115
10,40,3,0,0,5,softmax_mean,37,0.114
10,40,3,0,0,5,softmax_mean,38,0.105
10,40,3,0,0,5,softmax_mean,39,0.115
10,40,3,0,0,5,softmax_mean,40,0.114
