Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.106
10,40,3,0,0,5,dropout_mean,2,0.119
10,40,3,0,0,5,dropout_mean,3,0.157
10,40,3,0,0,5,dropout_mean,4,0.113
10,40,3,0,0,5,dropout_mean,5,0.128
10,40,3,0,0,5,dropout_mean,6,0.218
10,40,3,0,0,5,dropout_mean,7,0.127
10,40,3,0,0,5,dropout_mean,8,0.148
10,40,3,0,0,5,dropout_mean,9,0.216
10,40,3,0,0,5,dropout_mean,10,0.17
10,40,3,0,0,5,dropout_mean,11,0.233
10,40,3,0,0,5,dropout_mean,12,0.257
10,40,3,0,0,5,dropout_mean,13,0.364
10,40,3,0,0,5,dropout_mean,14,0.307
10,40,3,0,0,5,dropout_mean,15,0.337
10,40,3,0,0,5,dropout_mean,16,0.174
10,40,3,0,0,5,dropout_mean,17,0.29
10,40,3,0,0,5,dropout_mean,18,0.247
10,40,3,0,0,5,dropout_mean,19,0.122
10,40,3,0,0,5,dropout_mean,20,0.36
10,40,3,0,0,5,dropout_mean,21,0.295
10,40,3,0,0,5,dropout_mean,22,0.31
10,40,3,0,0,5,dropout_mean,23,0.287
10,40,3,0,0,5,dropout_mean,24,0.246
10,40,3,0,0,5,dropout_mean,25,0.321
10,40,3,0,0,5,dropout_mean,26,0.196
10,40,3,0,0,5,dropout_mean,27,0.209
10,40,3,0,0,5,dropout_mean,28,0.374
10,40,3,0,0,5,dropout_mean,29,0.289
10,40,3,0,0,5,dropout_mean,30,0.264
10,40,3,0,0,5,dropout_mean,31,0.377
10,40,3,0,0,5,dropout_mean,32,0.286
10,40,3,0,0,5,dropout_mean,33,0.243
10,40,3,0,0,5,dropout_mean,34,0.174
10,40,3,0,0,5,dropout_mean,35,0.303
10,40,3,0,0,5,dropout_mean,36,0.388
10,40,3,0,0,5,dropout_mean,37,0.355
10,40,3,0,0,5,dropout_mean,38,0.217
10,40,3,0,0,5,dropout_mean,39,0.378
10,40,3,0,0,5,dropout_mean,40,0.425
