Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
7,40,3,0,0,5,dropout_mean,1,0.10776766969909027
7,40,3,0,0,5,dropout_mean,2,0.09587123862841147
7,40,3,0,0,5,dropout_mean,3,0.10286913925822254
7,40,3,0,0,5,dropout_mean,4,0.10916724982505248
7,40,3,0,0,5,dropout_mean,5,0.10916724982505248
7,40,3,0,0,5,dropout_mean,6,0.10356892932120364
7,40,3,0,0,5,dropout_mean,7,0.1462561231630511
7,40,3,0,0,5,dropout_mean,8,0.11266620013995801
7,40,3,0,0,5,dropout_mean,9,0.19104268719384185
7,40,3,0,0,5,dropout_mean,10,0.2344296710986704
7,40,3,0,0,5,dropout_mean,11,0.1973407977606718
7,40,3,0,0,5,dropout_mean,12,0.16864940517844645
7,40,3,0,0,5,dropout_mean,13,0.21413575927221834
7,40,3,0,0,5,dropout_mean,14,0.13785864240727783
7,40,3,0,0,5,dropout_mean,15,0.2596221133659902
7,40,3,0,0,5,dropout_mean,16,0.1000699790062981
7,40,3,0,0,5,dropout_mean,17,0.14275717284814557
7,40,3,0,0,5,dropout_mean,18,0.21693491952414276
7,40,3,0,0,5,dropout_mean,19,0.1224632610216935
7,40,3,0,0,5,dropout_mean,20,0.24002799160251925
7,40,3,0,0,5,dropout_mean,21,0.3729881035689293
7,40,3,0,0,5,dropout_mean,22,0.2547235829251225
7,40,3,0,0,5,dropout_mean,23,0.390482855143457
7,40,3,0,0,5,dropout_mean,24,0.3002099370188943
7,40,3,0,0,5,dropout_mean,25,0.2995101469559132
7,40,3,0,0,5,dropout_mean,26,0.1364590622813156
7,40,3,0,0,5,dropout_mean,27,0.1231630510846746
7,40,3,0,0,5,dropout_mean,28,0.1350594821553534
7,40,3,0,0,5,dropout_mean,29,0.11196641007697691
7,40,3,0,0,5,dropout_mean,30,0.12876137158852344
7,40,3,0,0,5,dropout_mean,31,0.39538138558432473
7,40,3,0,0,5,dropout_mean,32,0.17914625612316304
7,40,3,0,0,5,dropout_mean,33,0.14415675297410777
7,40,3,0,0,5,dropout_mean,34,0.24212736179146255
7,40,3,0,0,5,dropout_mean,35,0.4268719384184745
7,40,3,0,0,5,dropout_mean,36,0.1364590622813156
7,40,3,0,0,5,dropout_mean,37,0.43177046885934217
7,40,3,0,0,5,dropout_mean,38,0.33799860041987406
7,40,3,0,0,5,dropout_mean,39,0.12666200139958012
7,40,3,0,0,5,dropout_mean,40,0.2470258922323303
