Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,dropout_mean,1,0.087
10,50,3,0,0,5,dropout_mean,2,0.099
10,50,3,0,0,5,dropout_mean,3,0.241
10,50,3,0,0,5,dropout_mean,4,0.26
10,50,3,0,0,5,dropout_mean,5,0.315
10,50,3,0,0,5,dropout_mean,6,0.325
10,50,3,0,0,5,dropout_mean,7,0.153
10,50,3,0,0,5,dropout_mean,8,0.119
10,50,3,0,0,5,dropout_mean,9,0.121
10,50,3,0,0,5,dropout_mean,10,0.126
10,50,3,0,0,5,dropout_mean,11,0.115
10,50,3,0,0,5,dropout_mean,12,0.295
10,50,3,0,0,5,dropout_mean,13,0.312
10,50,3,0,0,5,dropout_mean,14,0.261
10,50,3,0,0,5,dropout_mean,15,0.391
10,50,3,0,0,5,dropout_mean,16,0.227
10,50,3,0,0,5,dropout_mean,17,0.109
10,50,3,0,0,5,dropout_mean,18,0.24
10,50,3,0,0,5,dropout_mean,19,0.226
10,50,3,0,0,5,dropout_mean,20,0.161
10,50,3,0,0,5,dropout_mean,21,0.249
10,50,3,0,0,5,dropout_mean,22,0.329
10,50,3,0,0,5,dropout_mean,23,0.311
10,50,3,0,0,5,dropout_mean,24,0.358
10,50,3,0,0,5,dropout_mean,25,0.249
10,50,3,0,0,5,dropout_mean,26,0.173
10,50,3,0,0,5,dropout_mean,27,0.268
10,50,3,0,0,5,dropout_mean,28,0.138
10,50,3,0,0,5,dropout_mean,29,0.2
10,50,3,0,0,5,dropout_mean,30,0.187
10,50,3,0,0,5,dropout_mean,31,0.125
10,50,3,0,0,5,dropout_mean,32,0.199
10,50,3,0,0,5,dropout_mean,33,0.197
10,50,3,0,0,5,dropout_mean,34,0.23
10,50,3,0,0,5,dropout_mean,35,0.224
10,50,3,0,0,5,dropout_mean,36,0.136
10,50,3,0,0,5,dropout_mean,37,0.349
10,50,3,0,0,5,dropout_mean,38,0.173
10,50,3,0,0,5,dropout_mean,39,0.31
10,50,3,0,0,5,dropout_mean,40,0.151
10,50,3,0,0,5,dropout_mean,41,0.237
10,50,3,0,0,5,dropout_mean,42,0.27
10,50,3,0,0,5,dropout_mean,43,0.394
10,50,3,0,0,5,dropout_mean,44,0.347
10,50,3,0,0,5,dropout_mean,45,0.319
10,50,3,0,0,5,dropout_mean,46,0.276
10,50,3,0,0,5,dropout_mean,47,0.374
10,50,3,0,0,5,dropout_mean,48,0.226
10,50,3,0,0,5,dropout_mean,49,0.208
10,50,3,0,0,5,dropout_mean,50,0.351
