Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.108
10,40,3,0,0,5,dropout_mean,2,0.108
10,40,3,0,0,5,dropout_mean,3,0.115
10,40,3,0,0,5,dropout_mean,4,0.155
10,40,3,0,0,5,dropout_mean,5,0.19
10,40,3,0,0,5,dropout_mean,6,0.181
10,40,3,0,0,5,dropout_mean,7,0.133
10,40,3,0,0,5,dropout_mean,8,0.188
10,40,3,0,0,5,dropout_mean,9,0.166
10,40,3,0,0,5,dropout_mean,10,0.211
10,40,3,0,0,5,dropout_mean,11,0.234
10,40,3,0,0,5,dropout_mean,12,0.115
10,40,3,0,0,5,dropout_mean,13,0.113
10,40,3,0,0,5,dropout_mean,14,0.097
10,40,3,0,0,5,dropout_mean,15,0.093
10,40,3,0,0,5,dropout_mean,16,0.124
10,40,3,0,0,5,dropout_mean,17,0.136
10,40,3,0,0,5,dropout_mean,18,0.143
10,40,3,0,0,5,dropout_mean,19,0.127
10,40,3,0,0,5,dropout_mean,20,0.141
10,40,3,0,0,5,dropout_mean,21,0.165
10,40,3,0,0,5,dropout_mean,22,0.174
10,40,3,0,0,5,dropout_mean,23,0.138
10,40,3,0,0,5,dropout_mean,24,0.161
10,40,3,0,0,5,dropout_mean,25,0.116
10,40,3,0,0,5,dropout_mean,26,0.124
10,40,3,0,0,5,dropout_mean,27,0.122
10,40,3,0,0,5,dropout_mean,28,0.115
10,40,3,0,0,5,dropout_mean,29,0.118
10,40,3,0,0,5,dropout_mean,30,0.131
10,40,3,0,0,5,dropout_mean,31,0.161
10,40,3,0,0,5,dropout_mean,32,0.151
10,40,3,0,0,5,dropout_mean,33,0.154
10,40,3,0,0,5,dropout_mean,34,0.182
10,40,3,0,0,5,dropout_mean,35,0.154
10,40,3,0,0,5,dropout_mean,36,0.129
10,40,3,0,0,5,dropout_mean,37,0.122
10,40,3,0,0,5,dropout_mean,38,0.146
10,40,3,0,0,5,dropout_mean,39,0.175
10,40,3,0,0,5,dropout_mean,40,0.173
