Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
5,40,3,0,0,5,dropout_median,1,0.1165
5,40,3,0,0,5,dropout_median,2,0.152
5,40,3,0,0,5,dropout_median,3,0.3745
5,40,3,0,0,5,dropout_median,4,0.344
5,40,3,0,0,5,dropout_median,5,0.319
5,40,3,0,0,5,dropout_median,6,0.375
5,40,3,0,0,5,dropout_median,7,0.315
5,40,3,0,0,5,dropout_median,8,0.342
5,40,3,0,0,5,dropout_median,9,0.422
5,40,3,0,0,5,dropout_median,10,0.318
5,40,3,0,0,5,dropout_median,11,0.303
5,40,3,0,0,5,dropout_median,12,0.4475
5,40,3,0,0,5,dropout_median,13,0.3455
5,40,3,0,0,5,dropout_median,14,0.363
5,40,3,0,0,5,dropout_median,15,0.4455
5,40,3,0,0,5,dropout_median,16,0.323
5,40,3,0,0,5,dropout_median,17,0.3495
5,40,3,0,0,5,dropout_median,18,0.438
5,40,3,0,0,5,dropout_median,19,0.3755
5,40,3,0,0,5,dropout_median,20,0.342
5,40,3,0,0,5,dropout_median,21,0.457
5,40,3,0,0,5,dropout_median,22,0.4505
5,40,3,0,0,5,dropout_median,23,0.405
5,40,3,0,0,5,dropout_median,24,0.375
5,40,3,0,0,5,dropout_median,25,0.3805
5,40,3,0,0,5,dropout_median,26,0.3385
5,40,3,0,0,5,dropout_median,27,0.4455
5,40,3,0,0,5,dropout_median,28,0.3615
5,40,3,0,0,5,dropout_median,29,0.28
5,40,3,0,0,5,dropout_median,30,0.454
5,40,3,0,0,5,dropout_median,31,0.416
5,40,3,0,0,5,dropout_median,32,0.387
5,40,3,0,0,5,dropout_median,33,0.3325
5,40,3,0,0,5,dropout_median,34,0.457
5,40,3,0,0,5,dropout_median,35,0.3215
5,40,3,0,0,5,dropout_median,36,0.375
5,40,3,0,0,5,dropout_median,37,0.4465
5,40,3,0,0,5,dropout_median,38,0.3255
5,40,3,0,0,5,dropout_median,39,0.3185
5,40,3,0,0,5,dropout_median,40,0.446
