Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,1000,trimmed_mean,1,0.108
10,50,3,0,0,1000,trimmed_mean,2,0.203
10,50,3,0,0,1000,trimmed_mean,3,0.235
10,50,3,0,0,1000,trimmed_mean,4,0.276
10,50,3,0,0,1000,trimmed_mean,5,0.29
10,50,3,0,0,1000,trimmed_mean,6,0.295
10,50,3,0,0,1000,trimmed_mean,7,0.308
10,50,3,0,0,1000,trimmed_mean,8,0.312
10,50,3,0,0,1000,trimmed_mean,9,0.316
10,50,3,0,0,1000,trimmed_mean,10,0.322
10,50,3,0,0,1000,trimmed_mean,11,0.314
10,50,3,0,0,1000,trimmed_mean,12,0.324
10,50,3,0,0,1000,trimmed_mean,13,0.317
10,50,3,0,0,1000,trimmed_mean,14,0.313
10,50,3,0,0,1000,trimmed_mean,15,0.329
10,50,3,0,0,1000,trimmed_mean,16,0.334
10,50,3,0,0,1000,trimmed_mean,17,0.322
10,50,3,0,0,1000,trimmed_mean,18,0.32
10,50,3,0,0,1000,trimmed_mean,19,0.33
10,50,3,0,0,1000,trimmed_mean,20,0.322
10,50,3,0,0,1000,trimmed_mean,21,0.322
10,50,3,0,0,1000,trimmed_mean,22,0.33
10,50,3,0,0,1000,trimmed_mean,23,0.334
10,50,3,0,0,1000,trimmed_mean,24,0.315
10,50,3,0,0,1000,trimmed_mean,25,0.317
10,50,3,0,0,1000,trimmed_mean,26,0.332
10,50,3,0,0,1000,trimmed_mean,27,0.337
10,50,3,0,0,1000,trimmed_mean,28,0.323
10,50,3,0,0,1000,trimmed_mean,29,0.322
10,50,3,0,0,1000,trimmed_mean,30,0.333
10,50,3,0,0,1000,trimmed_mean,31,0.324
10,50,3,0,0,1000,trimmed_mean,32,0.339
10,50,3,0,0,1000,trimmed_mean,33,0.357
10,50,3,0,0,1000,trimmed_mean,34,0.356
10,50,3,0,0,1000,trimmed_mean,35,0.375
10,50,3,0,0,1000,trimmed_mean,36,0.375
10,50,3,0,0,1000,trimmed_mean,37,0.388
10,50,3,0,0,1000,trimmed_mean,38,0.387
10,50,3,0,0,1000,trimmed_mean,39,0.37
10,50,3,0,0,1000,trimmed_mean,40,0.371
10,50,3,0,0,1000,trimmed_mean,41,0.354
10,50,3,0,0,1000,trimmed_mean,42,0.377
10,50,3,0,0,1000,trimmed_mean,43,0.386
10,50,3,0,0,1000,trimmed_mean,44,0.383
10,50,3,0,0,1000,trimmed_mean,45,0.379
10,50,3,0,0,1000,trimmed_mean,46,0.375
10,50,3,0,0,1000,trimmed_mean,47,0.385
10,50,3,0,0,1000,trimmed_mean,48,0.374
10,50,3,0,0,1000,trimmed_mean,49,0.388
10,50,3,0,0,1000,trimmed_mean,50,0.385
10,50,3,1,0,1000,trimmed_mean,1,0.078
10,50,3,1,0,1000,trimmed_mean,2,0.078
10,50,3,1,0,1000,trimmed_mean,3,0.309
10,50,3,1,0,1000,trimmed_mean,4,0.377
10,50,3,1,0,1000,trimmed_mean,5,0.377
10,50,3,1,0,1000,trimmed_mean,6,0.373
10,50,3,1,0,1000,trimmed_mean,7,0.364
10,50,3,1,0,1000,trimmed_mean,8,0.394
10,50,3,1,0,1000,trimmed_mean,9,0.384
10,50,3,1,0,1000,trimmed_mean,10,0.388
10,50,3,1,0,1000,trimmed_mean,11,0.406
10,50,3,1,0,1000,trimmed_mean,12,0.38
10,50,3,1,0,1000,trimmed_mean,13,0.396
10,50,3,1,0,1000,trimmed_mean,14,0.389
10,50,3,1,0,1000,trimmed_mean,15,0.396
10,50,3,1,0,1000,trimmed_mean,16,0.401
10,50,3,1,0,1000,trimmed_mean,17,0.402
10,50,3,1,0,1000,trimmed_mean,18,0.377
10,50,3,1,0,1000,trimmed_mean,19,0.408
10,50,3,1,0,1000,trimmed_mean,20,0.412
10,50,3,1,0,1000,trimmed_mean,21,0.408
10,50,3,1,0,1000,trimmed_mean,22,0.397
10,50,3,1,0,1000,trimmed_mean,23,0.42
10,50,3,1,0,1000,trimmed_mean,24,0.399
10,50,3,1,0,1000,trimmed_mean,25,0.4
10,50,3,1,0,1000,trimmed_mean,26,0.413
10,50,3,1,0,1000,trimmed_mean,27,0.407
10,50,3,1,0,1000,trimmed_mean,28,0.416
10,50,3,1,0,1000,trimmed_mean,29,0.403
10,50,3,1,0,1000,trimmed_mean,30,0.424
10,50,3,1,0,1000,trimmed_mean,31,0.423
10,50,3,1,0,1000,trimmed_mean,32,0.418
10,50,3,1,0,1000,trimmed_mean,33,0.444
10,50,3,1,0,1000,trimmed_mean,34,0.439
10,50,3,1,0,1000,trimmed_mean,35,0.441
10,50,3,1,0,1000,trimmed_mean,36,0.428
10,50,3,1,0,1000,trimmed_mean,37,0.439
10,50,3,1,0,1000,trimmed_mean,38,0.459
10,50,3,1,0,1000,trimmed_mean,39,0.449
10,50,3,1,0,1000,trimmed_mean,40,0.446
10,50,3,1,0,1000,trimmed_mean,41,0.446
10,50,3,1,0,1000,trimmed_mean,42,0.447
10,50,3,1,0,1000,trimmed_mean,43,0.45
10,50,3,1,0,1000,trimmed_mean,44,0.439
10,50,3,1,0,1000,trimmed_mean,45,0.451
10,50,3,1,0,1000,trimmed_mean,46,0.445
10,50,3,1,0,1000,trimmed_mean,47,0.443
10,50,3,1,0,1000,trimmed_mean,48,0.44
10,50,3,1,0,1000,trimmed_mean,49,0.439
10,50,3,1,0,1000,trimmed_mean,50,0.452
10,50,3,2,0,1000,trimmed_mean,1,0.078
10,50,3,2,0,1000,trimmed_mean,2,0.114
10,50,3,2,0,1000,trimmed_mean,3,0.241
10,50,3,2,0,1000,trimmed_mean,4,0.269
10,50,3,2,0,1000,trimmed_mean,5,0.28
10,50,3,2,0,1000,trimmed_mean,6,0.288
10,50,3,2,0,1000,trimmed_mean,7,0.315
10,50,3,2,0,1000,trimmed_mean,8,0.287
10,50,3,2,0,1000,trimmed_mean,9,0.295
10,50,3,2,0,1000,trimmed_mean,10,0.318
10,50,3,2,0,1000,trimmed_mean,11,0.333
10,50,3,2,0,1000,trimmed_mean,12,0.296
10,50,3,2,0,1000,trimmed_mean,13,0.318
10,50,3,2,0,1000,trimmed_mean,14,0.322
10,50,3,2,0,1000,trimmed_mean,15,0.341
10,50,3,2,0,1000,trimmed_mean,16,0.339
10,50,3,2,0,1000,trimmed_mean,17,0.329
10,50,3,2,0,1000,trimmed_mean,18,0.33
10,50,3,2,0,1000,trimmed_mean,19,0.319
10,50,3,2,0,1000,trimmed_mean,20,0.312
10,50,3,2,0,1000,trimmed_mean,21,0.32
10,50,3,2,0,1000,trimmed_mean,22,0.325
10,50,3,2,0,1000,trimmed_mean,23,0.314
10,50,3,2,0,1000,trimmed_mean,24,0.298
10,50,3,2,0,1000,trimmed_mean,25,0.307
10,50,3,2,0,1000,trimmed_mean,26,0.309
10,50,3,2,0,1000,trimmed_mean,27,0.308
10,50,3,2,0,1000,trimmed_mean,28,0.315
10,50,3,2,0,1000,trimmed_mean,29,0.318
10,50,3,2,0,1000,trimmed_mean,30,0.309
10,50,3,2,0,1000,trimmed_mean,31,0.331
10,50,3,2,0,1000,trimmed_mean,32,0.317
10,50,3,2,0,1000,trimmed_mean,33,0.317
10,50,3,2,0,1000,trimmed_mean,34,0.321
10,50,3,2,0,1000,trimmed_mean,35,0.315
10,50,3,2,0,1000,trimmed_mean,36,0.313
10,50,3,2,0,1000,trimmed_mean,37,0.328
10,50,3,2,0,1000,trimmed_mean,38,0.335
10,50,3,2,0,1000,trimmed_mean,39,0.319
10,50,3,2,0,1000,trimmed_mean,40,0.331
10,50,3,2,0,1000,trimmed_mean,41,0.347
10,50,3,2,0,1000,trimmed_mean,42,0.346
10,50,3,2,0,1000,trimmed_mean,43,0.338
10,50,3,2,0,1000,trimmed_mean,44,0.336
10,50,3,2,0,1000,trimmed_mean,45,0.332
10,50,3,2,0,1000,trimmed_mean,46,0.335
10,50,3,2,0,1000,trimmed_mean,47,0.333
10,50,3,2,0,1000,trimmed_mean,48,0.322
10,50,3,2,0,1000,trimmed_mean,49,0.335
10,50,3,2,0,1000,trimmed_mean,50,0.345
10,50,3,3,0,1000,trimmed_mean,1,0.108
10,50,3,3,0,1000,trimmed_mean,2,0.078
10,50,3,3,0,1000,trimmed_mean,3,0.078
10,50,3,3,0,1000,trimmed_mean,4,0.087
10,50,3,3,0,1000,trimmed_mean,5,0.114
10,50,3,3,0,1000,trimmed_mean,6,0.093
10,50,3,3,0,1000,trimmed_mean,7,0.087
10,50,3,3,0,1000,trimmed_mean,8,0.093
10,50,3,3,0,1000,trimmed_mean,9,0.078
10,50,3,3,0,1000,trimmed_mean,10,0.108
10,50,3,3,0,1000,trimmed_mean,11,0.087
10,50,3,3,0,1000,trimmed_mean,12,0.109
10,50,3,3,0,1000,trimmed_mean,13,0.114
10,50,3,3,0,1000,trimmed_mean,14,0.087
10,50,3,3,0,1000,trimmed_mean,15,0.087
10,50,3,3,0,1000,trimmed_mean,16,0.121
10,50,3,3,0,1000,trimmed_mean,17,0.078
10,50,3,3,0,1000,trimmed_mean,18,0.093
10,50,3,3,0,1000,trimmed_mean,19,0.087
10,50,3,3,0,1000,trimmed_mean,20,0.108
10,50,3,3,0,1000,trimmed_mean,21,0.093
10,50,3,3,0,1000,trimmed_mean,22,0.087
10,50,3,3,0,1000,trimmed_mean,23,0.078
10,50,3,3,0,1000,trimmed_mean,24,0.108
10,50,3,3,0,1000,trimmed_mean,25,0.087
10,50,3,3,0,1000,trimmed_mean,26,0.108
10,50,3,3,0,1000,trimmed_mean,27,0.087
10,50,3,3,0,1000,trimmed_mean,28,0.103
10,50,3,3,0,1000,trimmed_mean,29,0.093
10,50,3,3,0,1000,trimmed_mean,30,0.108
10,50,3,3,0,1000,trimmed_mean,31,0.087
10,50,3,3,0,1000,trimmed_mean,32,0.093
10,50,3,3,0,1000,trimmed_mean,33,0.114
10,50,3,3,0,1000,trimmed_mean,34,0.093
10,50,3,3,0,1000,trimmed_mean,35,0.108
10,50,3,3,0,1000,trimmed_mean,36,0.087
10,50,3,3,0,1000,trimmed_mean,37,0.078
10,50,3,3,0,1000,trimmed_mean,38,0.1
10,50,3,3,0,1000,trimmed_mean,39,0.087
10,50,3,3,0,1000,trimmed_mean,40,0.1
10,50,3,3,0,1000,trimmed_mean,41,0.109
10,50,3,3,0,1000,trimmed_mean,42,0.114
10,50,3,3,0,1000,trimmed_mean,43,0.108
10,50,3,3,0,1000,trimmed_mean,44,0.078
10,50,3,3,0,1000,trimmed_mean,45,0.108
10,50,3,3,0,1000,trimmed_mean,46,0.114
10,50,3,3,0,1000,trimmed_mean,47,0.093
10,50,3,3,0,1000,trimmed_mean,48,0.078
10,50,3,3,0,1000,trimmed_mean,49,0.093
10,50,3,3,0,1000,trimmed_mean,50,0.1
10,50,3,4,0,1000,trimmed_mean,1,0.078
10,50,3,4,0,1000,trimmed_mean,2,0.093
10,50,3,4,0,1000,trimmed_mean,3,0.1
10,50,3,4,0,1000,trimmed_mean,4,0.087
10,50,3,4,0,1000,trimmed_mean,5,0.087
10,50,3,4,0,1000,trimmed_mean,6,0.1
10,50,3,4,0,1000,trimmed_mean,7,0.087
10,50,3,4,0,1000,trimmed_mean,8,0.087
10,50,3,4,0,1000,trimmed_mean,9,0.1
10,50,3,4,0,1000,trimmed_mean,10,0.109
10,50,3,4,0,1000,trimmed_mean,11,0.093
10,50,3,4,0,1000,trimmed_mean,12,0.109
10,50,3,4,0,1000,trimmed_mean,13,0.087
10,50,3,4,0,1000,trimmed_mean,14,0.1
10,50,3,4,0,1000,trimmed_mean,15,0.109
10,50,3,4,0,1000,trimmed_mean,16,0.093
10,50,3,4,0,1000,trimmed_mean,17,0.087
10,50,3,4,0,1000,trimmed_mean,18,0.078
10,50,3,4,0,1000,trimmed_mean,19,0.1
10,50,3,4,0,1000,trimmed_mean,20,0.078
10,50,3,4,0,1000,trimmed_mean,21,0.109
10,50,3,4,0,1000,trimmed_mean,22,0.109
10,50,3,4,0,1000,trimmed_mean,23,0.093
10,50,3,4,0,1000,trimmed_mean,24,0.109
10,50,3,4,0,1000,trimmed_mean,25,0.093
10,50,3,4,0,1000,trimmed_mean,26,0.087
10,50,3,4,0,1000,trimmed_mean,27,0.109
10,50,3,4,0,1000,trimmed_mean,28,0.108
10,50,3,4,0,1000,trimmed_mean,29,0.078
10,50,3,4,0,1000,trimmed_mean,30,0.114
