Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,trimmed_mean,1,0.078
10,50,3,0,0,5,trimmed_mean,2,0.175
10,50,3,0,0,5,trimmed_mean,3,0.213
10,50,3,0,0,5,trimmed_mean,4,0.288
10,50,3,0,0,5,trimmed_mean,5,0.341
10,50,3,0,0,5,trimmed_mean,6,0.367
10,50,3,0,0,5,trimmed_mean,7,0.365
10,50,3,0,0,5,trimmed_mean,8,0.37
10,50,3,0,0,5,trimmed_mean,9,0.382
10,50,3,0,0,5,trimmed_mean,10,0.369
10,50,3,0,0,5,trimmed_mean,11,0.387
10,50,3,0,0,5,trimmed_mean,12,0.384
10,50,3,0,0,5,trimmed_mean,13,0.382
10,50,3,0,0,5,trimmed_mean,14,0.37
10,50,3,0,0,5,trimmed_mean,15,0.376
10,50,3,0,0,5,trimmed_mean,16,0.386
10,50,3,0,0,5,trimmed_mean,17,0.379
10,50,3,0,0,5,trimmed_mean,18,0.377
10,50,3,0,0,5,trimmed_mean,19,0.374
10,50,3,0,0,5,trimmed_mean,20,0.399
10,50,3,0,0,5,trimmed_mean,21,0.411
10,50,3,0,0,5,trimmed_mean,22,0.418
10,50,3,0,0,5,trimmed_mean,23,0.424
10,50,3,0,0,5,trimmed_mean,24,0.413
10,50,3,0,0,5,trimmed_mean,25,0.424
10,50,3,0,0,5,trimmed_mean,26,0.432
10,50,3,0,0,5,trimmed_mean,27,0.431
10,50,3,0,0,5,trimmed_mean,28,0.438
10,50,3,0,0,5,trimmed_mean,29,0.424
10,50,3,0,0,5,trimmed_mean,30,0.437
10,50,3,0,0,5,trimmed_mean,31,0.437
10,50,3,0,0,5,trimmed_mean,32,0.431
10,50,3,0,0,5,trimmed_mean,33,0.429
10,50,3,0,0,5,trimmed_mean,34,0.432
10,50,3,0,0,5,trimmed_mean,35,0.435
10,50,3,0,0,5,trimmed_mean,36,0.43
10,50,3,0,0,5,trimmed_mean,37,0.442
10,50,3,0,0,5,trimmed_mean,38,0.442
10,50,3,0,0,5,trimmed_mean,39,0.452
10,50,3,0,0,5,trimmed_mean,40,0.447
10,50,3,0,0,5,trimmed_mean,41,0.442
10,50,3,0,0,5,trimmed_mean,42,0.433
10,50,3,0,0,5,trimmed_mean,43,0.445
10,50,3,0,0,5,trimmed_mean,44,0.453
10,50,3,0,0,5,trimmed_mean,45,0.442
10,50,3,0,0,5,trimmed_mean,46,0.446
10,50,3,0,0,5,trimmed_mean,47,0.449
10,50,3,0,0,5,trimmed_mean,48,0.438
10,50,3,0,0,5,trimmed_mean,49,0.431
10,50,3,0,0,5,trimmed_mean,50,0.455
10,50,3,1,0,5,trimmed_mean,1,0.078
10,50,3,1,0,5,trimmed_mean,2,0.114
10,50,3,1,0,5,trimmed_mean,3,0.241
10,50,3,1,0,5,trimmed_mean,4,0.326
10,50,3,1,0,5,trimmed_mean,5,0.39
10,50,3,1,0,5,trimmed_mean,6,0.388
10,50,3,1,0,5,trimmed_mean,7,0.402
10,50,3,1,0,5,trimmed_mean,8,0.425
10,50,3,1,0,5,trimmed_mean,9,0.431
10,50,3,1,0,5,trimmed_mean,10,0.431
10,50,3,1,0,5,trimmed_mean,11,0.437
10,50,3,1,0,5,trimmed_mean,12,0.428
10,50,3,1,0,5,trimmed_mean,13,0.438
10,50,3,1,0,5,trimmed_mean,14,0.438
10,50,3,1,0,5,trimmed_mean,15,0.446
10,50,3,1,0,5,trimmed_mean,16,0.443
10,50,3,1,0,5,trimmed_mean,17,0.452
10,50,3,1,0,5,trimmed_mean,18,0.448
10,50,3,1,0,5,trimmed_mean,19,0.466
10,50,3,1,0,5,trimmed_mean,20,0.468
10,50,3,1,0,5,trimmed_mean,21,0.449
10,50,3,1,0,5,trimmed_mean,22,0.454
10,50,3,1,0,5,trimmed_mean,23,0.457
10,50,3,1,0,5,trimmed_mean,24,0.463
10,50,3,1,0,5,trimmed_mean,25,0.453
10,50,3,1,0,5,trimmed_mean,26,0.45
10,50,3,1,0,5,trimmed_mean,27,0.445
10,50,3,1,0,5,trimmed_mean,28,0.463
10,50,3,1,0,5,trimmed_mean,29,0.458
10,50,3,1,0,5,trimmed_mean,30,0.467
10,50,3,1,0,5,trimmed_mean,31,0.469
10,50,3,1,0,5,trimmed_mean,32,0.461
10,50,3,1,0,5,trimmed_mean,33,0.467
10,50,3,1,0,5,trimmed_mean,34,0.465
10,50,3,1,0,5,trimmed_mean,35,0.464
10,50,3,1,0,5,trimmed_mean,36,0.454
10,50,3,1,0,5,trimmed_mean,37,0.473
10,50,3,1,0,5,trimmed_mean,38,0.47
10,50,3,1,0,5,trimmed_mean,39,0.467
10,50,3,1,0,5,trimmed_mean,40,0.45
10,50,3,1,0,5,trimmed_mean,41,0.48
10,50,3,1,0,5,trimmed_mean,42,0.486
10,50,3,1,0,5,trimmed_mean,43,0.472
10,50,3,1,0,5,trimmed_mean,44,0.46
10,50,3,1,0,5,trimmed_mean,45,0.459
10,50,3,1,0,5,trimmed_mean,46,0.463
10,50,3,1,0,5,trimmed_mean,47,0.463
10,50,3,1,0,5,trimmed_mean,48,0.447
10,50,3,1,0,5,trimmed_mean,49,0.463
10,50,3,1,0,5,trimmed_mean,50,0.471
10,50,3,2,0,5,trimmed_mean,1,0.078
10,50,3,2,0,5,trimmed_mean,2,0.194
10,50,3,2,0,5,trimmed_mean,3,0.266
10,50,3,2,0,5,trimmed_mean,4,0.293
10,50,3,2,0,5,trimmed_mean,5,0.305
10,50,3,2,0,5,trimmed_mean,6,0.322
10,50,3,2,0,5,trimmed_mean,7,0.313
10,50,3,2,0,5,trimmed_mean,8,0.309
10,50,3,2,0,5,trimmed_mean,9,0.332
10,50,3,2,0,5,trimmed_mean,10,0.351
10,50,3,2,0,5,trimmed_mean,11,0.34
10,50,3,2,0,5,trimmed_mean,12,0.31
10,50,3,2,0,5,trimmed_mean,13,0.351
10,50,3,2,0,5,trimmed_mean,14,0.356
10,50,3,2,0,5,trimmed_mean,15,0.357
10,50,3,2,0,5,trimmed_mean,16,0.352
10,50,3,2,0,5,trimmed_mean,17,0.356
10,50,3,2,0,5,trimmed_mean,18,0.364
10,50,3,2,0,5,trimmed_mean,19,0.36
10,50,3,2,0,5,trimmed_mean,20,0.362
10,50,3,2,0,5,trimmed_mean,21,0.358
10,50,3,2,0,5,trimmed_mean,22,0.352
10,50,3,2,0,5,trimmed_mean,23,0.347
10,50,3,2,0,5,trimmed_mean,24,0.356
10,50,3,2,0,5,trimmed_mean,25,0.353
10,50,3,2,0,5,trimmed_mean,26,0.362
10,50,3,2,0,5,trimmed_mean,27,0.342
10,50,3,2,0,5,trimmed_mean,28,0.369
10,50,3,2,0,5,trimmed_mean,29,0.368
10,50,3,2,0,5,trimmed_mean,30,0.359
10,50,3,2,0,5,trimmed_mean,31,0.37
10,50,3,2,0,5,trimmed_mean,32,0.368
10,50,3,2,0,5,trimmed_mean,33,0.356
10,50,3,2,0,5,trimmed_mean,34,0.35
10,50,3,2,0,5,trimmed_mean,35,0.388
