Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,trimmed_mean,1,0.078
10,50,3,0,0,5,trimmed_mean,2,0.214
10,50,3,0,0,5,trimmed_mean,3,0.291
10,50,3,0,0,5,trimmed_mean,4,0.307
10,50,3,0,0,5,trimmed_mean,5,0.322
10,50,3,0,0,5,trimmed_mean,6,0.352
10,50,3,0,0,5,trimmed_mean,7,0.329
10,50,3,0,0,5,trimmed_mean,8,0.34
10,50,3,0,0,5,trimmed_mean,9,0.353
10,50,3,0,0,5,trimmed_mean,10,0.338
10,50,3,0,0,5,trimmed_mean,11,0.349
10,50,3,0,0,5,trimmed_mean,12,0.349
10,50,3,0,0,5,trimmed_mean,13,0.353
10,50,3,0,0,5,trimmed_mean,14,0.348
10,50,3,0,0,5,trimmed_mean,15,0.349
10,50,3,0,0,5,trimmed_mean,16,0.355
10,50,3,0,0,5,trimmed_mean,17,0.342
10,50,3,0,0,5,trimmed_mean,18,0.347
10,50,3,0,0,5,trimmed_mean,19,0.334
10,50,3,0,0,5,trimmed_mean,20,0.354
10,50,3,0,0,5,trimmed_mean,21,0.348
10,50,3,0,0,5,trimmed_mean,22,0.359
10,50,3,0,0,5,trimmed_mean,23,0.344
10,50,3,0,0,5,trimmed_mean,24,0.344
10,50,3,0,0,5,trimmed_mean,25,0.35
10,50,3,0,0,5,trimmed_mean,26,0.344
10,50,3,0,0,5,trimmed_mean,27,0.337
10,50,3,0,0,5,trimmed_mean,28,0.338
10,50,3,0,0,5,trimmed_mean,29,0.35
10,50,3,0,0,5,trimmed_mean,30,0.348
10,50,3,0,0,5,trimmed_mean,31,0.35
10,50,3,0,0,5,trimmed_mean,32,0.363
10,50,3,0,0,5,trimmed_mean,33,0.356
10,50,3,0,0,5,trimmed_mean,34,0.352
10,50,3,0,0,5,trimmed_mean,35,0.358
10,50,3,0,0,5,trimmed_mean,36,0.368
10,50,3,0,0,5,trimmed_mean,37,0.37
10,50,3,0,0,5,trimmed_mean,38,0.384
10,50,3,0,0,5,trimmed_mean,39,0.367
10,50,3,0,0,5,trimmed_mean,40,0.38
10,50,3,0,0,5,trimmed_mean,41,0.374
10,50,3,0,0,5,trimmed_mean,42,0.384
10,50,3,0,0,5,trimmed_mean,43,0.379
10,50,3,0,0,5,trimmed_mean,44,0.386
10,50,3,0,0,5,trimmed_mean,45,0.387
10,50,3,0,0,5,trimmed_mean,46,0.381
10,50,3,0,0,5,trimmed_mean,47,0.381
10,50,3,0,0,5,trimmed_mean,48,0.394
10,50,3,0,0,5,trimmed_mean,49,0.387
10,50,3,0,0,5,trimmed_mean,50,0.402
10,50,3,0,1,5,trimmed_mean,1,0.078
10,50,3,0,1,5,trimmed_mean,2,0.199
10,50,3,0,1,5,trimmed_mean,3,0.314
10,50,3,0,1,5,trimmed_mean,4,0.361
10,50,3,0,1,5,trimmed_mean,5,0.366
10,50,3,0,1,5,trimmed_mean,6,0.379
10,50,3,0,1,5,trimmed_mean,7,0.396
10,50,3,0,1,5,trimmed_mean,8,0.406
10,50,3,0,1,5,trimmed_mean,9,0.405
10,50,3,0,1,5,trimmed_mean,10,0.408
10,50,3,0,1,5,trimmed_mean,11,0.411
10,50,3,0,1,5,trimmed_mean,12,0.422
10,50,3,0,1,5,trimmed_mean,13,0.415
10,50,3,0,1,5,trimmed_mean,14,0.425
10,50,3,0,1,5,trimmed_mean,15,0.406
10,50,3,0,1,5,trimmed_mean,16,0.417
10,50,3,0,1,5,trimmed_mean,17,0.426
10,50,3,0,1,5,trimmed_mean,18,0.441
10,50,3,0,1,5,trimmed_mean,19,0.427
10,50,3,0,1,5,trimmed_mean,20,0.438
10,50,3,0,1,5,trimmed_mean,21,0.449
10,50,3,0,1,5,trimmed_mean,22,0.429
10,50,3,0,1,5,trimmed_mean,23,0.448
10,50,3,0,1,5,trimmed_mean,24,0.439
10,50,3,0,1,5,trimmed_mean,25,0.453
10,50,3,0,1,5,trimmed_mean,26,0.454
