Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,trimmed_mean,1,0.108
10,50,3,0,0,5,trimmed_mean,2,0.173
10,50,3,0,0,5,trimmed_mean,3,0.293
10,50,3,0,0,5,trimmed_mean,4,0.341
10,50,3,0,0,5,trimmed_mean,5,0.35
10,50,3,0,0,5,trimmed_mean,6,0.36
10,50,3,0,0,5,trimmed_mean,7,0.376
10,50,3,0,0,5,trimmed_mean,8,0.374
10,50,3,0,0,5,trimmed_mean,9,0.38
10,50,3,0,0,5,trimmed_mean,10,0.388
10,50,3,0,0,5,trimmed_mean,11,0.392
10,50,3,0,0,5,trimmed_mean,12,0.39
10,50,3,0,0,5,trimmed_mean,13,0.38
10,50,3,0,0,5,trimmed_mean,14,0.395
10,50,3,0,0,5,trimmed_mean,15,0.4
10,50,3,0,0,5,trimmed_mean,16,0.414
10,50,3,0,0,5,trimmed_mean,17,0.416
10,50,3,0,0,5,trimmed_mean,18,0.425
10,50,3,0,0,5,trimmed_mean,19,0.425
10,50,3,0,0,5,trimmed_mean,20,0.436
10,50,3,0,0,5,trimmed_mean,21,0.439
10,50,3,0,0,5,trimmed_mean,22,0.456
10,50,3,0,0,5,trimmed_mean,23,0.441
10,50,3,0,0,5,trimmed_mean,24,0.453
10,50,3,0,0,5,trimmed_mean,25,0.449
10,50,3,0,0,5,trimmed_mean,26,0.477
10,50,3,0,0,5,trimmed_mean,27,0.452
10,50,3,0,0,5,trimmed_mean,28,0.471
10,50,3,0,0,5,trimmed_mean,29,0.467
10,50,3,0,0,5,trimmed_mean,30,0.477
10,50,3,0,0,5,trimmed_mean,31,0.482
10,50,3,0,0,5,trimmed_mean,32,0.467
10,50,3,0,0,5,trimmed_mean,33,0.477
10,50,3,0,0,5,trimmed_mean,34,0.472
10,50,3,0,0,5,trimmed_mean,35,0.494
10,50,3,0,0,5,trimmed_mean,36,0.469
10,50,3,0,0,5,trimmed_mean,37,0.477
10,50,3,0,0,5,trimmed_mean,38,0.475
10,50,3,0,0,5,trimmed_mean,39,0.466
10,50,3,0,0,5,trimmed_mean,40,0.479
10,50,3,0,0,5,trimmed_mean,41,0.485
10,50,3,0,0,5,trimmed_mean,42,0.474
10,50,3,0,0,5,trimmed_mean,43,0.462
10,50,3,0,0,5,trimmed_mean,44,0.453
10,50,3,0,0,5,trimmed_mean,45,0.469
10,50,3,0,0,5,trimmed_mean,46,0.472
10,50,3,0,0,5,trimmed_mean,47,0.472
10,50,3,0,0,5,trimmed_mean,48,0.456
10,50,3,0,0,5,trimmed_mean,49,0.469
10,50,3,0,0,5,trimmed_mean,50,0.462
10,50,3,0,1,5,trimmed_mean,1,0.078
10,50,3,0,1,5,trimmed_mean,2,0.144
10,50,3,0,1,5,trimmed_mean,3,0.265
10,50,3,0,1,5,trimmed_mean,4,0.341
10,50,3,0,1,5,trimmed_mean,5,0.397
10,50,3,0,1,5,trimmed_mean,6,0.41
10,50,3,0,1,5,trimmed_mean,7,0.408
