Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,1,1000,trimmed_mean,1,0.076
10,50,3,0,1,1000,trimmed_mean,2,0.183
10,50,3,0,1,1000,trimmed_mean,3,0.234
10,50,3,0,1,1000,trimmed_mean,4,0.37
10,50,3,0,1,1000,trimmed_mean,5,0.376
10,50,3,0,1,1000,trimmed_mean,6,0.4
10,50,3,0,1,1000,trimmed_mean,7,0.397
10,50,3,0,1,1000,trimmed_mean,8,0.414
10,50,3,0,1,1000,trimmed_mean,9,0.389
10,50,3,0,1,1000,trimmed_mean,10,0.416
10,50,3,0,1,1000,trimmed_mean,11,0.429
10,50,3,0,1,1000,trimmed_mean,12,0.407
10,50,3,0,1,1000,trimmed_mean,13,0.423
10,50,3,0,1,1000,trimmed_mean,14,0.435
10,50,3,0,1,1000,trimmed_mean,15,0.417
10,50,3,0,1,1000,trimmed_mean,16,0.434
10,50,3,0,1,1000,trimmed_mean,17,0.445
10,50,3,0,1,1000,trimmed_mean,18,0.432
10,50,3,0,1,1000,trimmed_mean,19,0.442
10,50,3,0,1,1000,trimmed_mean,20,0.427
10,50,3,0,1,1000,trimmed_mean,21,0.436
10,50,3,0,1,1000,trimmed_mean,22,0.441
10,50,3,0,1,1000,trimmed_mean,23,0.416
10,50,3,0,1,1000,trimmed_mean,24,0.434
10,50,3,0,1,1000,trimmed_mean,25,0.426
10,50,3,0,1,1000,trimmed_mean,26,0.427
10,50,3,0,1,1000,trimmed_mean,27,0.45
10,50,3,0,1,1000,trimmed_mean,28,0.423
10,50,3,0,1,1000,trimmed_mean,29,0.429
10,50,3,0,1,1000,trimmed_mean,30,0.441
10,50,3,0,1,1000,trimmed_mean,31,0.425
10,50,3,0,1,1000,trimmed_mean,32,0.436
10,50,3,0,1,1000,trimmed_mean,33,0.437
10,50,3,0,1,1000,trimmed_mean,34,0.428
10,50,3,0,1,1000,trimmed_mean,35,0.448
10,50,3,0,1,1000,trimmed_mean,36,0.439
10,50,3,0,1,1000,trimmed_mean,37,0.452
10,50,3,0,1,1000,trimmed_mean,38,0.429
10,50,3,0,1,1000,trimmed_mean,39,0.408
10,50,3,0,1,1000,trimmed_mean,40,0.446
10,50,3,0,1,1000,trimmed_mean,41,0.425
10,50,3,0,1,1000,trimmed_mean,42,0.418
10,50,3,0,1,1000,trimmed_mean,43,0.44
10,50,3,0,1,1000,trimmed_mean,44,0.441
10,50,3,0,1,1000,trimmed_mean,45,0.416
10,50,3,0,1,1000,trimmed_mean,46,0.443
10,50,3,0,1,1000,trimmed_mean,47,0.435
10,50,3,0,1,1000,trimmed_mean,48,0.404
10,50,3,0,1,1000,trimmed_mean,49,0.434
10,50,3,0,1,1000,trimmed_mean,50,0.417
