Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,weighted_krum,1,0.289
10,50,3,0,0,5,weighted_krum,2,0.274
10,50,3,0,0,5,weighted_krum,3,0.277
10,50,3,0,0,5,weighted_krum,4,0.259
10,50,3,0,0,5,weighted_krum,5,0.264
10,50,3,0,0,5,weighted_krum,6,0.268
10,50,3,0,0,5,weighted_krum,7,0.283
10,50,3,0,0,5,weighted_krum,8,0.262
10,50,3,0,0,5,weighted_krum,9,0.29
10,50,3,0,0,5,weighted_krum,10,0.303
10,50,3,0,0,5,weighted_krum,11,0.278
10,50,3,0,0,5,weighted_krum,12,0.291
10,50,3,0,0,5,weighted_krum,13,0.305
10,50,3,0,0,5,weighted_krum,14,0.267
10,50,3,0,0,5,weighted_krum,15,0.295
10,50,3,0,0,5,weighted_krum,16,0.306
10,50,3,0,0,5,weighted_krum,17,0.318
10,50,3,0,0,5,weighted_krum,18,0.316
10,50,3,0,0,5,weighted_krum,19,0.342
10,50,3,0,0,5,weighted_krum,20,0.329
10,50,3,0,0,5,weighted_krum,21,0.232
10,50,3,0,0,5,weighted_krum,22,0.338
10,50,3,0,0,5,weighted_krum,23,0.318
10,50,3,0,0,5,weighted_krum,24,0.282
10,50,3,0,0,5,weighted_krum,25,0.347
10,50,3,0,0,5,weighted_krum,26,0.27
10,50,3,0,0,5,weighted_krum,27,0.31
10,50,3,0,0,5,weighted_krum,28,0.294
10,50,3,0,0,5,weighted_krum,29,0.3
10,50,3,0,0,5,weighted_krum,30,0.324
10,50,3,0,0,5,weighted_krum,31,0.262
10,50,3,0,0,5,weighted_krum,32,0.28
10,50,3,0,0,5,weighted_krum,33,0.319
10,50,3,0,0,5,weighted_krum,34,0.31
10,50,3,0,0,5,weighted_krum,35,0.307
10,50,3,0,0,5,weighted_krum,36,0.31
10,50,3,0,0,5,weighted_krum,37,0.306
10,50,3,0,0,5,weighted_krum,38,0.285
10,50,3,0,0,5,weighted_krum,39,0.324
10,50,3,0,0,5,weighted_krum,40,0.323
10,50,3,0,0,5,weighted_krum,41,0.274
10,50,3,0,0,5,weighted_krum,42,0.298
10,50,3,0,0,5,weighted_krum,43,0.296
10,50,3,0,0,5,weighted_krum,44,0.272
10,50,3,0,0,5,weighted_krum,45,0.284
10,50,3,0,0,5,weighted_krum,46,0.262
10,50,3,0,0,5,weighted_krum,47,0.283
10,50,3,0,0,5,weighted_krum,48,0.286
10,50,3,0,0,5,weighted_krum,49,0.292
10,50,3,0,0,5,weighted_krum,50,0.259
