Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.108
10,40,3,0,0,5,weighted_mean,2,0.108
10,40,3,0,0,5,weighted_mean,3,0.105
10,40,3,0,0,5,weighted_mean,4,0.122
10,40,3,0,0,5,weighted_mean,5,0.184
10,40,3,0,0,5,weighted_mean,6,0.287
10,40,3,0,0,5,weighted_mean,7,0.335
10,40,3,0,0,5,weighted_mean,8,0.257
10,40,3,0,0,5,weighted_mean,9,0.315
10,40,3,0,0,5,weighted_mean,10,0.275
10,40,3,0,0,5,weighted_mean,11,0.298
10,40,3,0,0,5,weighted_mean,12,0.296
10,40,3,0,0,5,weighted_mean,13,0.26
10,40,3,0,0,5,weighted_mean,14,0.215
10,40,3,0,0,5,weighted_mean,15,0.339
10,40,3,0,0,5,weighted_mean,16,0.282
10,40,3,0,0,5,weighted_mean,17,0.364
10,40,3,0,0,5,weighted_mean,18,0.349
10,40,3,0,0,5,weighted_mean,19,0.339
10,40,3,0,0,5,weighted_mean,20,0.274
10,40,3,0,0,5,weighted_mean,21,0.307
10,40,3,0,0,5,weighted_mean,22,0.256
10,40,3,0,0,5,weighted_mean,23,0.271
10,40,3,0,0,5,weighted_mean,24,0.23
10,40,3,0,0,5,weighted_mean,25,0.214
10,40,3,0,0,5,weighted_mean,26,0.249
10,40,3,0,0,5,weighted_mean,27,0.224
10,40,3,0,0,5,weighted_mean,28,0.32
10,40,3,0,0,5,weighted_mean,29,0.238
10,40,3,0,0,5,weighted_mean,30,0.372
10,40,3,0,0,5,weighted_mean,31,0.255
10,40,3,0,0,5,weighted_mean,32,0.354
10,40,3,0,0,5,weighted_mean,33,0.281
10,40,3,0,0,5,weighted_mean,34,0.228
10,40,3,0,0,5,weighted_mean,35,0.322
10,40,3,0,0,5,weighted_mean,36,0.22
10,40,3,0,0,5,weighted_mean,37,0.19
10,40,3,0,0,5,weighted_mean,38,0.281
10,40,3,0,0,5,weighted_mean,39,0.166
10,40,3,0,0,5,weighted_mean,40,0.239
