Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,weighted_mean,1,0.108
10,50,3,0,0,5,weighted_mean,2,0.108
10,50,3,0,0,5,weighted_mean,3,0.144
10,50,3,0,0,5,weighted_mean,4,0.312
10,50,3,0,0,5,weighted_mean,5,0.249
10,50,3,0,0,5,weighted_mean,6,0.255
10,50,3,0,0,5,weighted_mean,7,0.352
10,50,3,0,0,5,weighted_mean,8,0.147
10,50,3,0,0,5,weighted_mean,9,0.208
10,50,3,0,0,5,weighted_mean,10,0.322
10,50,3,0,0,5,weighted_mean,11,0.373
10,50,3,0,0,5,weighted_mean,12,0.283
10,50,3,0,0,5,weighted_mean,13,0.337
10,50,3,0,0,5,weighted_mean,14,0.369
10,50,3,0,0,5,weighted_mean,15,0.35
10,50,3,0,0,5,weighted_mean,16,0.282
10,50,3,0,0,5,weighted_mean,17,0.267
10,50,3,0,0,5,weighted_mean,18,0.368
10,50,3,0,0,5,weighted_mean,19,0.248
10,50,3,0,0,5,weighted_mean,20,0.257
10,50,3,0,0,5,weighted_mean,21,0.365
10,50,3,0,0,5,weighted_mean,22,0.214
10,50,3,0,0,5,weighted_mean,23,0.18
10,50,3,0,0,5,weighted_mean,24,0.174
10,50,3,0,0,5,weighted_mean,25,0.182
10,50,3,0,0,5,weighted_mean,26,0.251
10,50,3,0,0,5,weighted_mean,27,0.302
10,50,3,0,0,5,weighted_mean,28,0.321
10,50,3,0,0,5,weighted_mean,29,0.333
10,50,3,0,0,5,weighted_mean,30,0.296
10,50,3,0,0,5,weighted_mean,31,0.184
10,50,3,0,0,5,weighted_mean,32,0.183
10,50,3,0,0,5,weighted_mean,33,0.243
10,50,3,0,0,5,weighted_mean,34,0.287
10,50,3,0,0,5,weighted_mean,35,0.225
10,50,3,0,0,5,weighted_mean,36,0.178
10,50,3,0,0,5,weighted_mean,37,0.159
10,50,3,0,0,5,weighted_mean,38,0.39
10,50,3,0,0,5,weighted_mean,39,0.363
10,50,3,0,0,5,weighted_mean,40,0.31
10,50,3,0,0,5,weighted_mean,41,0.349
10,50,3,0,0,5,weighted_mean,42,0.219
10,50,3,0,0,5,weighted_mean,43,0.337
10,50,3,0,0,5,weighted_mean,44,0.247
10,50,3,0,0,5,weighted_mean,45,0.349
10,50,3,0,0,5,weighted_mean,46,0.325
10,50,3,0,0,5,weighted_mean,47,0.164
10,50,3,0,0,5,weighted_mean,48,0.291
10,50,3,0,0,5,weighted_mean,49,0.38
10,50,3,0,0,5,weighted_mean,50,0.184
