Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.108
10,40,3,0,0,5,weighted_mean,2,0.17
10,40,3,0,0,5,weighted_mean,3,0.171
10,40,3,0,0,5,weighted_mean,4,0.246
10,40,3,0,0,5,weighted_mean,5,0.284
10,40,3,0,0,5,weighted_mean,6,0.313
10,40,3,0,0,5,weighted_mean,7,0.318
10,40,3,0,0,5,weighted_mean,8,0.326
10,40,3,0,0,5,weighted_mean,9,0.298
10,40,3,0,0,5,weighted_mean,10,0.283
10,40,3,0,0,5,weighted_mean,11,0.289
10,40,3,0,0,5,weighted_mean,12,0.188
10,40,3,0,0,5,weighted_mean,13,0.233
10,40,3,0,0,5,weighted_mean,14,0.244
10,40,3,0,0,5,weighted_mean,15,0.285
10,40,3,0,0,5,weighted_mean,16,0.29
10,40,3,0,0,5,weighted_mean,17,0.277
10,40,3,0,0,5,weighted_mean,18,0.284
10,40,3,0,0,5,weighted_mean,19,0.31
10,40,3,0,0,5,weighted_mean,20,0.259
10,40,3,0,0,5,weighted_mean,21,0.313
10,40,3,0,0,5,weighted_mean,22,0.314
10,40,3,0,0,5,weighted_mean,23,0.221
10,40,3,0,0,5,weighted_mean,24,0.33
10,40,3,0,0,5,weighted_mean,25,0.302
10,40,3,0,0,5,weighted_mean,26,0.282
10,40,3,0,0,5,weighted_mean,27,0.267
10,40,3,0,0,5,weighted_mean,28,0.166
10,40,3,0,0,5,weighted_mean,29,0.203
10,40,3,0,0,5,weighted_mean,30,0.272
10,40,3,0,0,5,weighted_mean,31,0.272
10,40,3,0,0,5,weighted_mean,32,0.289
10,40,3,0,0,5,weighted_mean,33,0.288
10,40,3,0,0,5,weighted_mean,34,0.279
10,40,3,0,0,5,weighted_mean,35,0.307
10,40,3,0,0,5,weighted_mean,36,0.279
10,40,3,0,0,5,weighted_mean,37,0.275
10,40,3,0,0,5,weighted_mean,38,0.328
10,40,3,0,0,5,weighted_mean,39,0.281
10,40,3,0,0,5,weighted_mean,40,0.306
