Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.078
10,40,3,0,0,5,weighted_mean,2,0.114
10,40,3,0,0,5,weighted_mean,3,0.103
10,40,3,0,0,5,weighted_mean,4,0.217
10,40,3,0,0,5,weighted_mean,5,0.351
10,40,3,0,0,5,weighted_mean,6,0.376
10,40,3,0,0,5,weighted_mean,7,0.348
10,40,3,0,0,5,weighted_mean,8,0.271
10,40,3,0,0,5,weighted_mean,9,0.313
10,40,3,0,0,5,weighted_mean,10,0.415
10,40,3,0,0,5,weighted_mean,11,0.386
10,40,3,0,0,5,weighted_mean,12,0.396
10,40,3,0,0,5,weighted_mean,13,0.405
10,40,3,0,0,5,weighted_mean,14,0.383
10,40,3,0,0,5,weighted_mean,15,0.37
10,40,3,0,0,5,weighted_mean,16,0.408
10,40,3,0,0,5,weighted_mean,17,0.367
10,40,3,0,0,5,weighted_mean,18,0.361
10,40,3,0,0,5,weighted_mean,19,0.255
10,40,3,0,0,5,weighted_mean,20,0.361
10,40,3,0,0,5,weighted_mean,21,0.397
10,40,3,0,0,5,weighted_mean,22,0.338
10,40,3,0,0,5,weighted_mean,23,0.291
10,40,3,0,0,5,weighted_mean,24,0.342
10,40,3,0,0,5,weighted_mean,25,0.392
10,40,3,0,0,5,weighted_mean,26,0.292
10,40,3,0,0,5,weighted_mean,27,0.389
10,40,3,0,0,5,weighted_mean,28,0.416
10,40,3,0,0,5,weighted_mean,29,0.368
10,40,3,0,0,5,weighted_mean,30,0.354
10,40,3,0,0,5,weighted_mean,31,0.418
10,40,3,0,0,5,weighted_mean,32,0.383
10,40,3,0,0,5,weighted_mean,33,0.434
10,40,3,0,0,5,weighted_mean,34,0.301
10,40,3,0,0,5,weighted_mean,35,0.383
10,40,3,0,0,5,weighted_mean,36,0.246
10,40,3,0,0,5,weighted_mean,37,0.39
10,40,3,0,0,5,weighted_mean,38,0.376
10,40,3,0,0,5,weighted_mean,39,0.392
10,40,3,0,0,5,weighted_mean,40,0.181
