Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,50,3,0,0,5,weighted_mean,1,0.078
10,50,3,0,0,5,weighted_mean,2,0.2
10,50,3,0,0,5,weighted_mean,3,0.2
10,50,3,0,0,5,weighted_mean,4,0.238
10,50,3,0,0,5,weighted_mean,5,0.232
10,50,3,0,0,5,weighted_mean,6,0.234
10,50,3,0,0,5,weighted_mean,7,0.242
10,50,3,0,0,5,weighted_mean,8,0.305
10,50,3,0,0,5,weighted_mean,9,0.305
10,50,3,0,0,5,weighted_mean,10,0.27
10,50,3,0,0,5,weighted_mean,11,0.276
10,50,3,0,0,5,weighted_mean,12,0.236
10,50,3,0,0,5,weighted_mean,13,0.251
10,50,3,0,0,5,weighted_mean,14,0.224
10,50,3,0,0,5,weighted_mean,15,0.318
10,50,3,0,0,5,weighted_mean,16,0.241
10,50,3,0,0,5,weighted_mean,17,0.212
10,50,3,0,0,5,weighted_mean,18,0.203
10,50,3,0,0,5,weighted_mean,19,0.192
10,50,3,0,0,5,weighted_mean,20,0.202
10,50,3,0,0,5,weighted_mean,21,0.223
10,50,3,0,0,5,weighted_mean,22,0.157
10,50,3,0,0,5,weighted_mean,23,0.182
10,50,3,0,0,5,weighted_mean,24,0.193
10,50,3,0,0,5,weighted_mean,25,0.19
10,50,3,0,0,5,weighted_mean,26,0.263
10,50,3,0,0,5,weighted_mean,27,0.248
10,50,3,0,0,5,weighted_mean,28,0.263
10,50,3,0,0,5,weighted_mean,29,0.262
10,50,3,0,0,5,weighted_mean,30,0.278
10,50,3,0,0,5,weighted_mean,31,0.163
10,50,3,0,0,5,weighted_mean,32,0.225
10,50,3,0,0,5,weighted_mean,33,0.186
10,50,3,0,0,5,weighted_mean,34,0.194
10,50,3,0,0,5,weighted_mean,35,0.207
10,50,3,0,0,5,weighted_mean,36,0.241
10,50,3,0,0,5,weighted_mean,37,0.272
10,50,3,0,0,5,weighted_mean,38,0.253
10,50,3,0,0,5,weighted_mean,39,0.205
10,50,3,0,0,5,weighted_mean,40,0.258
10,50,3,0,0,5,weighted_mean,41,0.26
10,50,3,0,0,5,weighted_mean,42,0.188
10,50,3,0,0,5,weighted_mean,43,0.284
10,50,3,0,0,5,weighted_mean,44,0.232
10,50,3,0,0,5,weighted_mean,45,0.302
10,50,3,0,0,5,weighted_mean,46,0.235
10,50,3,0,0,5,weighted_mean,47,0.276
10,50,3,0,0,5,weighted_mean,48,0.211
10,50,3,0,0,5,weighted_mean,49,0.232
10,50,3,0,0,5,weighted_mean,50,0.213
