Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,dropout_mean,1,0.078
10,40,3,0,0,5,dropout_mean,2,0.087
10,40,3,0,0,5,dropout_mean,3,0.114
10,40,3,0,0,5,dropout_mean,4,0.133
10,40,3,0,0,5,dropout_mean,5,0.18
10,40,3,0,0,5,dropout_mean,6,0.114
10,40,3,0,0,5,dropout_mean,7,0.136
10,40,3,0,0,5,dropout_mean,8,0.146
10,40,3,0,0,5,dropout_mean,9,0.177
10,40,3,0,0,5,dropout_mean,10,0.2
10,40,3,0,0,5,dropout_mean,11,0.214
10,40,3,0,0,5,dropout_mean,12,0.2
10,40,3,0,0,5,dropout_mean,13,0.107
10,40,3,0,0,5,dropout_mean,14,0.12
10,40,3,0,0,5,dropout_mean,15,0.166
10,40,3,0,0,5,dropout_mean,16,0.276
10,40,3,0,0,5,dropout_mean,17,0.252
10,40,3,0,0,5,dropout_mean,18,0.194
10,40,3,0,0,5,dropout_mean,19,0.255
10,40,3,0,0,5,dropout_mean,20,0.203
10,40,3,0,0,5,dropout_mean,21,0.155
10,40,3,0,0,5,dropout_mean,22,0.113
10,40,3,0,0,5,dropout_mean,23,0.123
10,40,3,0,0,5,dropout_mean,24,0.112
10,40,3,0,0,5,dropout_mean,25,0.087
10,40,3,0,0,5,dropout_mean,26,0.103
10,40,3,0,0,5,dropout_mean,27,0.109
10,40,3,0,0,5,dropout_mean,28,0.115
10,40,3,0,0,5,dropout_mean,29,0.13
10,40,3,0,0,5,dropout_mean,30,0.238
10,40,3,0,0,5,dropout_mean,31,0.244
10,40,3,0,0,5,dropout_mean,32,0.148
10,40,3,0,0,5,dropout_mean,33,0.167
10,40,3,0,0,5,dropout_mean,34,0.101
10,40,3,0,0,5,dropout_mean,35,0.09
10,40,3,0,0,5,dropout_mean,36,0.15
10,40,3,0,0,5,dropout_mean,37,0.128
10,40,3,0,0,5,dropout_mean,38,0.178
10,40,3,0,0,5,dropout_mean,39,0.175
10,40,3,0,0,5,dropout_mean,40,0.17
