Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.108
10,40,3,0,0,5,weighted_mean,2,0.147
10,40,3,0,0,5,weighted_mean,3,0.284
10,40,3,0,0,5,weighted_mean,4,0.353
10,40,3,0,0,5,weighted_mean,5,0.331
10,40,3,0,0,5,weighted_mean,6,0.372
10,40,3,0,0,5,weighted_mean,7,0.388
10,40,3,0,0,5,weighted_mean,8,0.392
10,40,3,0,0,5,weighted_mean,9,0.26
10,40,3,0,0,5,weighted_mean,10,0.392
10,40,3,0,0,5,weighted_mean,11,0.337
10,40,3,0,0,5,weighted_mean,12,0.41
10,40,3,0,0,5,weighted_mean,13,0.424
10,40,3,0,0,5,weighted_mean,14,0.408
10,40,3,0,0,5,weighted_mean,15,0.404
10,40,3,0,0,5,weighted_mean,16,0.407
10,40,3,0,0,5,weighted_mean,17,0.373
10,40,3,0,0,5,weighted_mean,18,0.406
10,40,3,0,0,5,weighted_mean,19,0.411
10,40,3,0,0,5,weighted_mean,20,0.422
10,40,3,0,0,5,weighted_mean,21,0.404
10,40,3,0,0,5,weighted_mean,22,0.313
10,40,3,0,0,5,weighted_mean,23,0.403
10,40,3,0,0,5,weighted_mean,24,0.412
10,40,3,0,0,5,weighted_mean,25,0.409
10,40,3,0,0,5,weighted_mean,26,0.424
10,40,3,0,0,5,weighted_mean,27,0.368
10,40,3,0,0,5,weighted_mean,28,0.419
10,40,3,0,0,5,weighted_mean,29,0.397
10,40,3,0,0,5,weighted_mean,30,0.374
10,40,3,0,0,5,weighted_mean,31,0.419
10,40,3,0,0,5,weighted_mean,32,0.348
10,40,3,0,0,5,weighted_mean,33,0.406
10,40,3,0,0,5,weighted_mean,34,0.417
10,40,3,0,0,5,weighted_mean,35,0.42
10,40,3,0,0,5,weighted_mean,36,0.425
10,40,3,0,0,5,weighted_mean,37,0.426
10,40,3,0,0,5,weighted_mean,38,0.376
10,40,3,0,0,5,weighted_mean,39,0.38
10,40,3,0,0,5,weighted_mean,40,0.42
