Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.078
10,40,3,0,0,5,weighted_mean,2,0.114
10,40,3,0,0,5,weighted_mean,3,0.116
10,40,3,0,0,5,weighted_mean,4,0.121
10,40,3,0,0,5,weighted_mean,5,0.175
10,40,3,0,0,5,weighted_mean,6,0.194
10,40,3,0,0,5,weighted_mean,7,0.22
10,40,3,0,0,5,weighted_mean,8,0.275
10,40,3,0,0,5,weighted_mean,9,0.264
10,40,3,0,0,5,weighted_mean,10,0.286
10,40,3,0,0,5,weighted_mean,11,0.286
10,40,3,0,0,5,weighted_mean,12,0.314
10,40,3,0,0,5,weighted_mean,13,0.287
10,40,3,0,0,5,weighted_mean,14,0.296
10,40,3,0,0,5,weighted_mean,15,0.318
10,40,3,0,0,5,weighted_mean,16,0.191
10,40,3,0,0,5,weighted_mean,17,0.209
10,40,3,0,0,5,weighted_mean,18,0.228
10,40,3,0,0,5,weighted_mean,19,0.248
10,40,3,0,0,5,weighted_mean,20,0.241
10,40,3,0,0,5,weighted_mean,21,0.24
10,40,3,0,0,5,weighted_mean,22,0.306
10,40,3,0,0,5,weighted_mean,23,0.259
10,40,3,0,0,5,weighted_mean,24,0.259
10,40,3,0,0,5,weighted_mean,25,0.204
10,40,3,0,0,5,weighted_mean,26,0.305
10,40,3,0,0,5,weighted_mean,27,0.227
10,40,3,0,0,5,weighted_mean,28,0.335
10,40,3,0,0,5,weighted_mean,29,0.283
10,40,3,0,0,5,weighted_mean,30,0.258
10,40,3,0,0,5,weighted_mean,31,0.261
10,40,3,0,0,5,weighted_mean,32,0.236
10,40,3,0,0,5,weighted_mean,33,0.279
10,40,3,0,0,5,weighted_mean,34,0.268
10,40,3,0,0,5,weighted_mean,35,0.252
10,40,3,0,0,5,weighted_mean,36,0.186
10,40,3,0,0,5,weighted_mean,37,0.235
10,40,3,0,0,5,weighted_mean,38,0.211
10,40,3,0,0,5,weighted_mean,39,0.207
10,40,3,0,0,5,weighted_mean,40,0.242
