Number of Clients,Number of Rounds,Number of Epochs,Number of Data Poisoned Clients,Number of Model Poisoned Clients,Scale Factor,Aggregation Type,Round,Global Accuracy
10,40,3,0,0,5,weighted_mean,1,0.108
10,40,3,0,0,5,weighted_mean,2,0.269
10,40,3,0,0,5,weighted_mean,3,0.323
10,40,3,0,0,5,weighted_mean,4,0.307
10,40,3,0,0,5,weighted_mean,5,0.235
10,40,3,0,0,5,weighted_mean,6,0.17
10,40,3,0,0,5,weighted_mean,7,0.151
10,40,3,0,0,5,weighted_mean,8,0.109
10,40,3,0,0,5,weighted_mean,9,0.11
10,40,3,0,0,5,weighted_mean,10,0.121
10,40,3,0,0,5,weighted_mean,11,0.109
10,40,3,0,0,5,weighted_mean,12,0.088
10,40,3,0,0,5,weighted_mean,13,0.103
10,40,3,0,0,5,weighted_mean,14,0.109
10,40,3,0,0,5,weighted_mean,15,0.109
10,40,3,0,0,5,weighted_mean,16,0.119
10,40,3,0,0,5,weighted_mean,17,0.109
10,40,3,0,0,5,weighted_mean,18,0.119
10,40,3,0,0,5,weighted_mean,19,0.119
10,40,3,0,0,5,weighted_mean,20,0.101
10,40,3,0,0,5,weighted_mean,21,0.109
10,40,3,0,0,5,weighted_mean,22,0.109
10,40,3,0,0,5,weighted_mean,23,0.12
10,40,3,0,0,5,weighted_mean,24,0.102
10,40,3,0,0,5,weighted_mean,25,0.12
10,40,3,0,0,5,weighted_mean,26,0.12
10,40,3,0,0,5,weighted_mean,27,0.109
10,40,3,0,0,5,weighted_mean,28,0.12
10,40,3,0,0,5,weighted_mean,29,0.12
10,40,3,0,0,5,weighted_mean,30,0.12
10,40,3,0,0,5,weighted_mean,31,0.12
10,40,3,0,0,5,weighted_mean,32,0.12
10,40,3,0,0,5,weighted_mean,33,0.121
10,40,3,0,0,5,weighted_mean,34,0.121
10,40,3,0,0,5,weighted_mean,35,0.121
10,40,3,0,0,5,weighted_mean,36,0.121
10,40,3,0,0,5,weighted_mean,37,0.121
10,40,3,0,0,5,weighted_mean,38,0.121
10,40,3,0,0,5,weighted_mean,39,0.121
10,40,3,0,0,5,weighted_mean,40,0.121
